"","cell_id","Epithelial_cluster","inferCNV_annotation"
"1447","E22_B003116","epithelial 3","tumor"
"1448","E22_B003518","epithelial 8","tumor"
"1449","E22_B003527","epithelial 4","tumor"
"1450","E22_B003775","epithelial 11","tumor"
"1451","E22_B003776","epithelial 5","tumor"
"1452","E22_B003894","epithelial 20","tumor"
"1453","E2_1001000317","epithelial 11","tumor"
"1454","E2_1001000340","epithelial 13","tumor"
"1455","E2_B000579","epithelial 25","tumor"
"1456","E2_B000862","epithelial 14","tumor"
"1457","E2_B000863","epithelial 14","tumor"
"1458","E2_B001464","epithelial 2","nontumor"
"1459","E2_B003070","epithelial 9","tumor"
"1460","E2_B003129","epithelial 10","tumor"
"1461","E2_B003132","epithelial 1","nontumor"
"1462","E2_B003187","epithelial 1","nontumor"
"1463","E3_1001000407","epithelial 0","tumor"
"1464","E3_B000862","epithelial 14","tumor"
"1465","E3_B000863","epithelial 16","tumor"
"1466","E3_B001543","epithelial 2","nontumor"
"1467","E3_B001558","epithelial 1","nontumor"
"1468","E3_B003126","epithelial 7","nontumor"
"1469","E3_B003187","epithelial 10","tumor"
"1470","E3_B003648","epithelial 2","tumor"
"1471","E4_1001000407","epithelial 0","tumor"
"1472","E4_1001000408","epithelial 0","tumor"
"1473","E4_1001000412","epithelial 0","tumor"
"1474","E4_B000860","epithelial 14","tumor"
"1475","E4_B000861","epithelial 14","nontumor"
"1476","E4_B002090","epithelial 9","nontumor"
"1477","E4_B003120","epithelial 3","nontumor"
"1478","E4_B003129","epithelial 10","tumor"
"1479","E4_B003132","epithelial 15","nontumor"
"1480","E4_B003187","epithelial 10","tumor"
"1481","E5_1001000407","epithelial 0","tumor"
"1482","E5_1001000408","epithelial 0","tumor"
"1483","E5_1001000412","epithelial 0","tumor"
"1484","E5_B001470","epithelial 2","nontumor"
"1485","E5_B001545","epithelial 17","tumor"
"1486","E5_B001554","epithelial 3","nontumor"
"1487","E5_B003126","epithelial 1","nontumor"
"1488","E5_B003129","epithelial 10","tumor"
"1489","E5_B003518","epithelial 4","tumor"
"1490","E5_B003527","epithelial 2","nontumor"
"1491","E5_B003648","epithelial 2","nontumor"
"1492","E5_B003654","epithelial 9","nontumor"
"1493","E5_B003659","epithelial 2","nontumor"
"1494","E6_1001000407","epithelial 0","tumor"
"1495","E6_1001000408","epithelial 0","tumor"
"1496","E6_1001000412","epithelial 0","tumor"
"1497","E6_B001543","epithelial 2","nontumor"
"1498","E6_B001558","epithelial 1","nontumor"
"1499","E6_B003191","epithelial 1","nontumor"
"1500","E6_B003654","epithelial 9","nontumor"
"1501","E7_10001000325","epithelial 11","tumor"
"1502","E7_1001000317","epithelial 11","tumor"
"1503","E7_1001000407","epithelial 0","tumor"
"1504","E7_1001000408","epithelial 0","tumor"
"1505","E7_1001000412","epithelial 0","tumor"
"1506","E7_B000862","epithelial 16","tumor"
"1507","E7_B000863","epithelial 14","tumor"
"1508","E7_B001474","epithelial 2","tumor"
"1509","E7_B001475","epithelial 5","tumor"
"1510","E7_B003129","epithelial 10","tumor"
"1511","E7_B003132","epithelial 1","nontumor"
"1512","E7_B003191","epithelial 15","tumor"
"1513","E7_B003518","epithelial 8","tumor"
"1514","E7_B003523","epithelial 17","tumor"
"1515","E7_B003527","epithelial 4","tumor"
"1516","E7_B003648","epithelial 2","tumor"
"1517","E7_B003654","epithelial 9","nontumor"
"1518","E7_B003656","epithelial 19","tumor"
"1519","E7_B003658","epithelial 2","nontumor"
"1520","E7_B003659","epithelial 19","tumor"
"1521","E8_1001000407","epithelial 0","tumor"
"1522","E8_1001000408","epithelial 0","tumor"
"1523","E8_1001000412","epithelial 0","tumor"
"1524","E8_B001554","epithelial 7","nontumor"
"1525","E8_B003119","epithelial 3","tumor"
"1526","E8_B003125","epithelial 1","nontumor"
"1527","E8_B003132","epithelial 1","nontumor"
"1528","E8_B003187","epithelial 10","tumor"
"1529","E8_B003518","epithelial 8","tumor"
"1530","E8_B003527","epithelial 8","tumor"
"1531","E8_B003528","epithelial 17","tumor"
"1532","E8_B003577","epithelial 17","tumor"
"1533","E8_B003648","epithelial 19","tumor"
"1534","E9_1001000302","epithelial 2","tumor"
"1535","E9_1001000317","epithelial 11","tumor"
"1536","E9_1001000407","epithelial 0","tumor"
"1537","E9_1001000408","epithelial 0","tumor"
"1538","E9_1001000412","epithelial 0","tumor"
"1539","E9_B000861","epithelial 14","tumor"
"1540","E9_B001470","epithelial 2","tumor"
"1541","E9_B003115","epithelial 2","tumor"
"1542","E9_B003522","epithelial 8","tumor"
"1543","E9_B003523","epithelial 1","nontumor"
"1544","E9_B003527","epithelial 8","tumor"
"1545","E9_B003528","epithelial 2","nontumor"
"1546","E9_B003529","epithelial 4","tumor"
"1547","F10_1001000327","epithelial 11","tumor"
"1548","F10_1001000407","epithelial 0","tumor"
"1549","F10_1001000408","epithelial 0","tumor"
"1550","F10_1001000412","epithelial 0","tumor"
"1551","F10_B000862","epithelial 14","tumor"
"1552","F10_B000863","epithelial 16","tumor"
"1553","F10_B001474","epithelial 5","tumor"
"1554","F10_B001545","epithelial 17","tumor"
"1555","F10_B003115","epithelial 2","nontumor"
"1556","F10_B003119","epithelial 3","tumor"
"1557","F10_B003191","epithelial 9","nontumor"
"1558","F10_B003518","epithelial 4","tumor"
"1559","F10_B003522","epithelial 2","nontumor"
"1560","F10_B003529","epithelial 8","tumor"
"1561","F10_B003588","epithelial 4","tumor"
"1562","F10_B003663","epithelial 25","tumor"
"1563","F11_1001000340","epithelial 13","tumor"
"1564","F11_1001000407","epithelial 0","tumor"
"1565","F11_1001000408","epithelial 0","tumor"
"1566","F11_1001000412","epithelial 0","tumor"
"1567","F11_B000861","epithelial 14","nontumor"
"1568","F11_B000862","epithelial 16","tumor"
"1569","F11_B000863","epithelial 16","tumor"
"1570","F11_B001548","epithelial 15","nontumor"
"1571","F11_B002078","epithelial 6","tumor"
"1572","F11_B003119","epithelial 3","nontumor"
"1573","F11_B003187","epithelial 9","nontumor"
"1574","F11_B003518","epithelial 4","tumor"
"1575","F11_B003528","epithelial 17","tumor"
"1576","F12_1001000317","epithelial 11","tumor"
"1577","F12_1001000327","epithelial 11","tumor"
"1578","F12_1001000340","epithelial 13","tumor"
"1579","F12_1001000407","epithelial 0","tumor"
"1580","F12_1001000408","epithelial 0","tumor"
"1581","F12_1001000412","epithelial 0","tumor"
"1582","F12_B000573","epithelial 21","tumor"
"1583","F12_B002077","epithelial 3","tumor"
"1584","F12_B003116","epithelial 3","tumor"
"1585","F12_B003119","epithelial 3","tumor"
"1586","F12_B003120","epithelial 3","tumor"
"1587","F12_B003187","epithelial 9","nontumor"
"1588","F12_B003191","epithelial 9","nontumor"
"1589","F12_B003518","epithelial 8","tumor"
"1590","F12_B003527","epithelial 8","tumor"
"1591","F12_B003529","epithelial 4","tumor"
"1592","F12_B003588","epithelial 2","nontumor"
"1593","F12_B003771","epithelial 1","nontumor"
"1594","F12_B003776","epithelial 5","tumor"
"1595","F13_1001000407","epithelial 0","tumor"
"1596","F13_1001000408","epithelial 0","tumor"
"1597","F13_1001000412","epithelial 0","tumor"
"1598","F13_B000420","epithelial 15","nontumor"
"1599","F13_B000422","epithelial 6","tumor"
"1600","F13_B001010","epithelial 2","nontumor"
"1601","F13_B002078","epithelial 6","tumor"
"1602","F13_B002572","epithelial 9","nontumor"
"1603","F13_B003112","epithelial 15","nontumor"
"1604","F13_B003116","epithelial 3","tumor"
"1605","F13_B003120","epithelial 3","tumor"
"1606","F13_B003187","epithelial 9","nontumor"
"1607","F13_B003518","epithelial 8","tumor"
"1608","F13_B003527","epithelial 8","tumor"
"1609","F13_B003529","epithelial 2","nontumor"
"1610","F13_B003588","epithelial 2","nontumor"
"1611","F13_B003775","epithelial 5","tumor"
"1612","F13_B003776","epithelial 2","tumor"
"1613","F13_B003777","epithelial 5","tumor"
"1614","F13_B003995","epithelial 20","tumor"
"1615","F14_1001000339","epithelial 13","tumor"
"1616","F14_1001000407","epithelial 0","tumor"
"1617","F14_1001000408","epithelial 0","tumor"
"1618","F14_1001000412","epithelial 0","tumor"
"1619","F14_B000422","epithelial 2","nontumor"
"1620","F14_B002074","epithelial 7","nontumor"
"1621","F14_B002079","epithelial 6","tumor"
"1622","F14_B003116","epithelial 3","tumor"
"1623","F14_B003120","epithelial 22","nontumor"
"1624","F14_B003129","epithelial 1","nontumor"
"1625","F14_B003187","epithelial 9","nontumor"
"1626","F14_B003191","epithelial 1","nontumor"
"1627","F14_B003518","epithelial 4","nontumor"
"1628","F14_B003527","epithelial 4","tumor"
"1629","F14_B003588","epithelial 4","tumor"
"1630","F14_B003771","epithelial 20","tumor"
"1631","F14_B003775","epithelial 5","tumor"
"1632","F14_B003776","epithelial 5","tumor"
"1633","F14_B003777","epithelial 5","tumor"
"1634","F14_B003920","epithelial 20","tumor"
"1635","F15_1001000339","epithelial 13","tumor"
"1636","F15_1001000407","epithelial 0","tumor"
"1637","F15_1001000408","epithelial 0","tumor"
"1638","F15_1001000412","epithelial 0","tumor"
"1639","F15_B000422","epithelial 6","tumor"
"1640","F15_B000862","epithelial 16","tumor"
"1641","F15_B002079","epithelial 6","tumor"
"1642","F15_B002097","epithelial 7","nontumor"
"1643","F15_B003112","epithelial 22","nontumor"
"1644","F15_B003120","epithelial 3","tumor"
"1645","F15_B003125","epithelial 1","nontumor"
"1646","F15_B003132","epithelial 1","nontumor"
"1647","F15_B003518","epithelial 4","tumor"
"1648","F15_B003522","epithelial 4","tumor"
"1649","F15_B003527","epithelial 4","tumor"
"1650","F15_B003771","epithelial 2","tumor"
"1651","F15_B003775","epithelial 2","tumor"
"1652","F15_B003777","epithelial 5","tumor"
"1653","F16_1001000340","epithelial 13","tumor"
"1654","F16_1001000407","epithelial 0","tumor"
"1655","F16_1001000408","epithelial 0","tumor"
"1656","F16_1001000412","epithelial 0","tumor"
"1657","F16_B002073","epithelial 23","nontumor"
"1658","F16_B002078","epithelial 6","tumor"
"1659","F16_B002079","epithelial 12","nontumor"
"1660","F16_B003116","epithelial 3","tumor"
"1661","F16_B003120","epithelial 3","tumor"
"1662","F16_B003125","epithelial 10","tumor"
"1663","F16_B003126","epithelial 7","nontumor"
"1664","F16_B003129","epithelial 10","tumor"
"1665","F16_B003187","epithelial 9","tumor"
"1666","F16_B003527","epithelial 8","tumor"
"1667","F16_B003643","epithelial 9","nontumor"
"1668","F16_B003654","epithelial 10","tumor"
"1669","F16_B003771","epithelial 1","tumor"
"1670","F16_B003776","epithelial 5","tumor"
"1671","F17_1001000340","epithelial 13","tumor"
"1672","F17_1001000407","epithelial 0","tumor"
"1673","F17_1001000408","epithelial 0","tumor"
"1674","F17_1001000412","epithelial 0","tumor"
"1675","F17_B000422","epithelial 6","tumor"
"1676","F17_B000569","epithelial 2","nontumor"
"1677","F17_B001010","epithelial 14","nontumor"
"1678","F17_B002073","epithelial 7","nontumor"
"1679","F17_B002077","epithelial 12","nontumor"
"1680","F17_B002078","epithelial 6","tumor"
"1681","F17_B003103","epithelial 9","nontumor"
"1682","F17_B003112","epithelial 3","tumor"
"1683","F17_B003116","epithelial 3","tumor"
"1684","F17_B003187","epithelial 9","nontumor"
"1685","F17_B003518","epithelial 8","tumor"
"1686","F17_B003527","epithelial 8","tumor"
"1687","F17_B003776","epithelial 5","tumor"
"1688","F17_B003894","epithelial 20","tumor"
"1689","F17_B003995","epithelial 1","nontumor"
"1690","F18_1001000339","epithelial 13","tumor"
"1691","F18_1001000407","epithelial 0","tumor"
"1692","F18_1001000408","epithelial 0","tumor"
"1693","F18_1001000412","epithelial 0","tumor"
"1694","F18_B001008","epithelial 18","tumor"
"1695","F18_B002074","epithelial 7","nontumor"
"1696","F18_B003112","epithelial 3","tumor"
"1697","F18_B003116","epithelial 2","nontumor"
"1698","F18_B003120","epithelial 3","tumor"
"1699","F18_B003518","epithelial 4","tumor"
"1700","F18_B003522","epithelial 4","tumor"
"1701","F18_B003527","epithelial 8","tumor"
"1702","F18_B003529","epithelial 2","nontumor"
"1703","F18_B003588","epithelial 2","nontumor"
"1704","F18_B003643","epithelial 9","nontumor"
"1705","F18_B003920","epithelial 20","tumor"
"1706","F19_1001000339","epithelial 13","tumor"
"1707","F19_1001000407","epithelial 0","tumor"
"1708","F19_1001000408","epithelial 0","tumor"
"1709","F19_1001000412","epithelial 0","tumor"
"1710","F19_B000420","epithelial 6","nontumor"
"1711","F19_B000422","epithelial 6","tumor"
"1712","F19_B002079","epithelial 2","nontumor"
"1713","F19_B003067","epithelial 2","tumor"
"1714","F19_B003093","epithelial 14","nontumor"
"1715","F19_B003103","epithelial 14","nontumor"
"1716","F19_B003116","epithelial 3","tumor"
"1717","F19_B003187","epithelial 9","nontumor"
"1718","F19_B003518","epithelial 4","tumor"
"1719","F19_B003522","epithelial 8","tumor"
"1720","F19_B003527","epithelial 4","tumor"
"1721","F19_B003529","epithelial 4","tumor"
"1722","F19_B003588","epithelial 9","tumor"
"1723","F19_B003643","epithelial 9","nontumor"
"1724","F19_B003654","epithelial 7","nontumor"
"1725","F19_B003775","epithelial 5","tumor"
"1726","F1_1001000408","epithelial 0","tumor"
"1727","F1_B000861","epithelial 16","nontumor"
"1728","F1_B000862","epithelial 16","tumor"
"1729","F1_B000863","epithelial 16","tumor"
"1730","F1_B001464","epithelial 18","tumor"
"1731","F1_B001470","epithelial 1","nontumor"
"1732","F1_B001608","epithelial 0","tumor"
"1733","F1_B003120","epithelial 3","tumor"
"1734","F1_B003126","epithelial 10","tumor"
"1735","F1_B003129","epithelial 10","tumor"
"1736","F20_1001000407","epithelial 0","tumor"
"1737","F20_1001000408","epithelial 0","tumor"
"1738","F20_1001000411","epithelial 0","tumor"
"1739","F20_B000422","epithelial 3","tumor"
"1740","F20_B002074","epithelial 1","nontumor"
"1741","F20_B003080","epithelial 21","tumor"
"1742","F20_B003112","epithelial 22","nontumor"
"1743","F20_B003120","epithelial 22","nontumor"
"1744","F20_B003187","epithelial 9","nontumor"
"1745","F20_B003518","epithelial 8","tumor"
"1746","F20_B003527","epithelial 8","tumor"
"1747","F20_B003529","epithelial 4","tumor"
"1748","F20_B003588","epithelial 4","tumor"
"1749","F20_B003654","epithelial 10","tumor"
"1750","F20_B003777","epithelial 2","nontumor"
"1751","F20_B003920","epithelial 20","tumor"
"1752","F21_1001000339","epithelial 13","tumor"
"1753","F21_1001000407","epithelial 0","tumor"
"1754","F21_1001000408","epithelial 0","tumor"
"1755","F21_1001000412","epithelial 0","tumor"
"1756","F21_B000420","epithelial 6","nontumor"
"1757","F21_B000422","epithelial 6","tumor"
"1758","F21_B001010","epithelial 18","tumor"
"1759","F21_B001460","epithelial 18","tumor"
"1760","F21_B001464","epithelial 9","nontumor"
"1761","F21_B002073","epithelial 12","nontumor"
"1762","F21_B002078","epithelial 2","nontumor"
"1763","F21_B003070","epithelial 14","nontumor"
"1764","F21_B003112","epithelial 3","tumor"
"1765","F21_B003116","epithelial 3","tumor"
"1766","F21_B003120","epithelial 3","tumor"
"1767","F21_B003187","epithelial 9","nontumor"
"1768","F21_B003527","epithelial 4","tumor"
"1769","F21_B003529","epithelial 4","tumor"
"1770","F21_B003775","epithelial 2","nontumor"
"1771","F21_B003777","epithelial 5","tumor"
"1772","F22_1001000339","epithelial 13","tumor"
"1773","F22_1001000407","epithelial 0","tumor"
"1774","F22_1001000408","epithelial 0","tumor"
"1775","F22_1001000412","epithelial 0","tumor"
"1776","F22_B002073","epithelial 7","nontumor"
"1777","F22_B002074","epithelial 7","nontumor"
"1778","F22_B002077","epithelial 6","tumor"
"1779","F22_B002078","epithelial 1","nontumor"
"1780","F22_B003070","epithelial 2","tumor"
"1781","F22_B003112","epithelial 15","nontumor"
"1782","F22_B003116","epithelial 3","tumor"
"1783","F22_B003120","epithelial 3","tumor"
"1784","F22_B003191","epithelial 1","nontumor"
"1785","F22_B003518","epithelial 4","tumor"
"1786","F22_B003527","epithelial 4","tumor"
"1787","F22_B003588","epithelial 2","nontumor"
"1788","F22_B003775","epithelial 5","tumor"
"1789","F22_B003995","epithelial 20","tumor"
"1790","F2_10001000325","epithelial 11","tumor"
"1791","F2_1001000317","epithelial 11","tumor"
"1792","F2_1001000327","epithelial 11","tumor"
"1793","F2_1001000340","epithelial 13","tumor"
"1794","F2_1001000407","epithelial 0","nontumor"
"1795","F2_1001000408","epithelial 0","tumor"
"1796","F2_B000861","epithelial 16","tumor"
"1797","F2_B001558","epithelial 7","nontumor"
"1798","F2_B003126","epithelial 1","nontumor"
"1799","F2_B003129","epithelial 1","nontumor"
"1800","F2_B003191","epithelial 10","tumor"
"1801","F2_B003648","epithelial 2","tumor"
"1802","F2_B003658","epithelial 2","tumor"
"1803","F3_1001000408","epithelial 0","tumor"
"1804","F3_1001000411","epithelial 2","nontumor"
"1805","F3_B001464","epithelial 18","tumor"
"1806","F3_B001556","epithelial 17","tumor"
"1807","F3_B001558","epithelial 7","nontumor"
"1808","F3_B003187","epithelial 1","nontumor"
"1809","F3_B003191","epithelial 1","nontumor"
"1810","F3_B003648","epithelial 19","tumor"
"1811","F4_1001000302","epithelial 2","tumor"
"1812","F4_1001000407","epithelial 0","tumor"
"1813","F4_1001000408","epithelial 0","tumor"
"1814","F4_1001000412","epithelial 0","tumor"
"1815","F4_B000861","epithelial 16","tumor"
"1816","F4_B000863","epithelial 14","nontumor"
"1817","F4_B001464","epithelial 18","tumor"
"1818","F4_B002090","epithelial 9","nontumor"
"1819","F4_B003129","epithelial 1","nontumor"
"1820","F4_B003132","epithelial 10","tumor"
"1821","F4_B003187","epithelial 9","nontumor"
"1822","F4_B003648","epithelial 19","tumor"
"1823","F4_B003659","epithelial 19","tumor"
"1824","F5_1001000327","epithelial 11","tumor"
"1825","F5_1001000407","epithelial 0","tumor"
"1826","F5_1001000408","epithelial 0","tumor"
"1827","F5_B000279","epithelial 9","nontumor"
"1828","F5_B000862","epithelial 14","nontumor"
"1829","F5_B000863","epithelial 16","tumor"
"1830","F5_B000894","epithelial 2","nontumor"
"1831","F5_B001470","epithelial 5","tumor"
"1832","F5_B001548","epithelial 15","nontumor"
"1833","F5_B001558","epithelial 7","nontumor"
"1834","F5_B003129","epithelial 10","tumor"
"1835","F5_B003187","epithelial 1","nontumor"
"1836","F5_B003191","epithelial 15","nontumor"
"1837","F5_B003648","epithelial 19","tumor"
"1838","F6_1001000317","epithelial 11","tumor"
"1839","F6_1001000327","epithelial 2","nontumor"
"1840","F6_1001000407","epithelial 0","tumor"
"1841","F6_1001000408","epithelial 0","tumor"
"1842","F6_B000860","epithelial 16","tumor"
"1843","F6_B000862","epithelial 16","tumor"
"1844","F6_B000863","epithelial 16","tumor"
"1845","F6_B001464","epithelial 18","tumor"
"1846","F6_B001474","epithelial 5","tumor"
"1847","F6_B001554","epithelial 1","nontumor"
"1848","F6_B003125","epithelial 10","tumor"
"1849","F6_B003129","epithelial 10","tumor"
"1850","F6_B003132","epithelial 10","tumor"
"1851","F6_B003187","epithelial 10","tumor"
"1852","F6_B003191","epithelial 1","nontumor"
"1853","F6_B003527","epithelial 8","tumor"
"1854","F6_B003659","epithelial 19","tumor"
"1855","F7_1001000340","epithelial 13","tumor"
"1856","F7_1001000407","epithelial 0","tumor"
"1857","F7_1001000408","epithelial 0","tumor"
"1858","F7_1001000412","epithelial 0","tumor"
"1859","F7_B000861","epithelial 14","tumor"
"1860","F7_B001475","epithelial 5","tumor"
"1861","F7_B001558","epithelial 7","nontumor"
"1862","F7_B003119","epithelial 3","tumor"
"1863","F7_B003125","epithelial 1","nontumor"
"1864","F7_B003126","epithelial 10","tumor"
"1865","F7_B003132","epithelial 15","nontumor"
"1866","F7_B003191","epithelial 1","nontumor"
"1867","F7_B003518","epithelial 8","tumor"
"1868","F7_B003523","epithelial 17","tumor"
"1869","F7_B003527","epithelial 4","tumor"
"1870","F7_B003528","epithelial 17","tumor"
"1871","F7_B003648","epithelial 19","tumor"
"1872","F7_B003995","epithelial 1","nontumor"
"1873","F8_1001000407","epithelial 0","tumor"
"1874","F8_1001000408","epithelial 0","tumor"
"1875","F8_1001000412","epithelial 0","tumor"
"1876","F8_B000860","epithelial 14","tumor"
"1877","F8_B000861","epithelial 16","tumor"
"1878","F8_B000863","epithelial 16","tumor"
"1879","F8_B001475","epithelial 5","tumor"
"1880","F8_B001548","epithelial 3","tumor"
"1881","F8_B001554","epithelial 7","nontumor"
"1882","F8_B001558","epithelial 7","nontumor"
"1883","F8_B003126","epithelial 10","tumor"
"1884","F8_B003129","epithelial 10","tumor"
"1885","F8_B003187","epithelial 10","tumor"
"1886","F8_B003518","epithelial 8","tumor"
"1887","F8_B003527","epithelial 8","tumor"
"1888","F8_B003648","epithelial 19","tumor"
"1889","F8_B003659","epithelial 19","tumor"
"1890","F9_1001000408","epithelial 0","tumor"
"1891","F9_1001000412","epithelial 0","tumor"
"1892","F9_B000861","epithelial 16","tumor"
"1893","F9_B000863","epithelial 16","tumor"
"1894","F9_B001548","epithelial 2","nontumor"
"1895","F9_B001554","epithelial 1","nontumor"
"1896","F9_B003119","epithelial 3","tumor"
"1897","F9_B003191","epithelial 9","nontumor"
"1898","F9_B003518","epithelial 4","tumor"
"1899","F9_B003527","epithelial 4","tumor"
"1900","F9_B003529","epithelial 2","nontumor"
"1901","F9_B003588","epithelial 2","nontumor"
"1902","G10_1001000340","epithelial 13","tumor"
"1903","G10_1001000407","epithelial 0","tumor"
"1904","G10_1001000412","epithelial 0","tumor"
"1905","G10_B000861","epithelial 14","nontumor"
"1906","G10_B000862","epithelial 16","tumor"
"1907","G10_B000863","epithelial 16","tumor"
"1908","G10_B001548","epithelial 17","tumor"
"1909","G10_B001558","epithelial 1","nontumor"
"1910","G10_B003119","epithelial 3","tumor"
"1911","G10_B003518","epithelial 4","tumor"
"1912","G10_B003523","epithelial 1","nontumor"
"1913","G10_B003527","epithelial 4","tumor"
"1914","G10_B003528","epithelial 17","tumor"
"1915","G10_B003588","epithelial 8","tumor"
"1916","G11_1001000407","epithelial 0","tumor"
"1917","G11_1001000408","epithelial 0","tumor"
"1918","G11_1001000412","epithelial 0","tumor"
"1919","G11_B000860","epithelial 14","tumor"
"1920","G11_B001475","epithelial 5","tumor"
"1921","G11_B001543","epithelial 3","tumor"
"1922","G11_B001558","epithelial 1","nontumor"
"1923","G11_B002078","epithelial 15","nontumor"
"1924","G11_B003113","epithelial 2","tumor"
"1925","G11_B003119","epithelial 3","tumor"
"1926","G11_B003518","epithelial 4","tumor"
"1927","G11_B003577","epithelial 17","tumor"
"1928","G11_B003588","epithelial 4","tumor"
"1929","G12_1001000407","epithelial 0","tumor"
"1930","G12_1001000408","epithelial 0","tumor"
"1931","G12_1001000412","epithelial 11","tumor"
"1932","G12_B003116","epithelial 3","tumor"
"1933","G12_B003527","epithelial 4","tumor"
"1934","G12_B003775","epithelial 5","tumor"
"1935","G12_B003776","epithelial 5","tumor"
"1936","G12_B003894","epithelial 2","tumor"
"1937","G12_B003995","epithelial 2","tumor"
"1938","G13_1001000339","epithelial 13","tumor"
"1939","G13_1001000340","epithelial 13","tumor"
"1940","G13_1001000407","epithelial 0","tumor"
"1941","G13_1001000408","epithelial 0","tumor"
"1942","G13_1001000412","epithelial 0","tumor"
"1943","G13_B000420","epithelial 6","tumor"
"1944","G13_B000422","epithelial 2","tumor"
"1945","G13_B000860","epithelial 9","nontumor"
"1946","G13_B003112","epithelial 3","tumor"
"1947","G13_B003116","epithelial 3","tumor"
"1948","G13_B003120","epithelial 3","tumor"
"1949","G13_B003518","epithelial 4","tumor"
"1950","G13_B003527","epithelial 4","tumor"
"1951","G13_B003776","epithelial 5","tumor"
"1952","G13_B003777","epithelial 5","tumor"
"1953","G14_1001000407","epithelial 0","tumor"
"1954","G14_1001000408","epithelial 0","tumor"
"1955","G14_1001000412","epithelial 0","tumor"
"1956","G14_B000580","epithelial 2","nontumor"
"1957","G14_B001010","epithelial 18","tumor"
"1958","G14_B002079","epithelial 6","tumor"
"1959","G14_B003112","epithelial 3","tumor"
"1960","G14_B003116","epithelial 15","nontumor"
"1961","G14_B003120","epithelial 3","tumor"
"1962","G14_B003125","epithelial 1","nontumor"
"1963","G14_B003126","epithelial 1","nontumor"
"1964","G14_B003129","epithelial 1","nontumor"
"1965","G14_B003132","epithelial 1","nontumor"
"1966","G14_B003518","epithelial 8","tumor"
"1967","G14_B003522","epithelial 2","nontumor"
"1968","G14_B003529","epithelial 2","nontumor"
"1969","G14_B003776","epithelial 5","tumor"
"1970","G14_B003777","epithelial 5","tumor"
"1971","G15_1001000339","epithelial 13","tumor"
"1972","G15_1001000407","epithelial 0","tumor"
"1973","G15_1001000408","epithelial 0","tumor"
"1974","G15_1001000411","epithelial 0","tumor"
"1975","G15_1001000412","epithelial 0","tumor"
"1976","G15_B000422","epithelial 6","tumor"
"1977","G15_B000579","epithelial 25","tumor"
"1978","G15_B002079","epithelial 6","tumor"
"1979","G15_B003112","epithelial 3","tumor"
"1980","G15_B003125","epithelial 1","nontumor"
"1981","G15_B003129","epithelial 7","nontumor"
"1982","G15_B003187","epithelial 7","nontumor"
"1983","G15_B003518","epithelial 4","tumor"
"1984","G15_B003522","epithelial 22","tumor"
"1985","G15_B003527","epithelial 4","tumor"
"1986","G15_B003529","epithelial 4","tumor"
"1987","G15_B003588","epithelial 4","tumor"
"1988","G15_B003647","epithelial 19","tumor"
"1989","G15_B003776","epithelial 5","tumor"
"1990","G15_B003930","epithelial 11","tumor"
"1991","G16_1001000339","epithelial 13","tumor"
"1992","G16_1001000407","epithelial 0","tumor"
"1993","G16_1001000408","epithelial 0","tumor"
"1994","G16_1001000412","epithelial 0","tumor"
"1995","G16_B000422","epithelial 15","nontumor"
"1996","G16_B002073","epithelial 1","nontumor"
"1997","G16_B003105","epithelial 11","tumor"
"1998","G16_B003116","epithelial 3","tumor"
"1999","G16_B003120","epithelial 3","tumor"
"2000","G16_B003126","epithelial 10","tumor"
"2001","G16_B003132","epithelial 1","nontumor"
"2002","G16_B003518","epithelial 4","tumor"
"2003","G16_B003527","epithelial 8","tumor"
"2004","G16_B003529","epithelial 4","tumor"
"2005","G16_B003776","epithelial 5","tumor"
"2006","G16_B003777","epithelial 5","tumor"
"2007","G16_B003894","epithelial 20","tumor"
"2008","G17_1001000339","epithelial 13","tumor"
"2009","G17_1001000407","epithelial 0","tumor"
"2010","G17_1001000408","epithelial 0","tumor"
"2011","G17_1001000412","epithelial 0","tumor"
"2012","G17_B000862","epithelial 16","tumor"
"2013","G17_B002078","epithelial 2","nontumor"
"2014","G17_B002079","epithelial 2","nontumor"
"2015","G17_B002090","epithelial 3","tumor"
"2016","G17_B003105","epithelial 2","nontumor"
"2017","G17_B003112","epithelial 3","tumor"
"2018","G17_B003116","epithelial 3","tumor"
"2019","G17_B003120","epithelial 3","tumor"
"2020","G17_B003518","epithelial 4","tumor"
"2021","G17_B003527","epithelial 4","tumor"
"2022","G17_B003588","epithelial 2","nontumor"
"2023","G17_B003775","epithelial 5","tumor"
"2024","G17_B003776","epithelial 5","tumor"
"2025","G17_B003920","epithelial 20","tumor"
"2026","G18_1001000339","epithelial 2","tumor"
"2027","G18_1001000407","epithelial 0","tumor"
"2028","G18_1001000408","epithelial 0","tumor"
"2029","G18_1001000409","epithelial 11","tumor"
"2030","G18_1001000412","epithelial 0","tumor"
"2031","G18_B002073","epithelial 1","nontumor"
"2032","G18_B002078","epithelial 6","tumor"
"2033","G18_B002079","epithelial 6","tumor"
"2034","G18_B003116","epithelial 3","tumor"
"2035","G18_B003120","epithelial 3","tumor"
"2036","G18_B003518","epithelial 4","tumor"
"2037","G18_B003527","epithelial 4","tumor"
"2038","G18_B003529","epithelial 4","tumor"
"2039","G18_B003775","epithelial 5","tumor"
"2040","G18_B003776","epithelial 5","tumor"
