© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Xenobiotic Metabolism Signaling	2.9E00	7.69E-02	NaN	RAP2B,RAP1B,RELA,CAMK4,PRKCQ,PPP2CA,PPP2R2A,PIK3R1,CHST12,NFKB1,PTGES3,PPP2R5A,EP300,HS3ST3B1,PIK3CG,MAP3K7,MAP3K8,PRKCH,MAP2K1,NFE2L2,SCAND1,MAP3K2,PRKCB
p53 Signaling	2.88E00	1.06E-01	-0.632	TP53INP1,PMAIP1,GADD45A,THBS1,PIK3R1,PIK3CG,MDM2,HIF1A,CTNNB1,ST13,PTEN,EP300
IL-15 Signaling	2.87E00	1.19E-01	NaN	RAP1B,RAP2B,SHC1,RELA,LCK,PIK3R1,PIK3CG,STAT3,NFKB1,MAP2K1
GDNF Family Ligand-Receptor Interactions	2.87E00	1.19E-01	-1.414	RAP1B,RAP2B,SHC1,PIK3R1,PIK3CG,SOS2,ITPR1,NCK1,RASA1,MAP2K1
Mouse Embryonic Stem Cell Pluripotency	2.85E00	1.05E-01	-1.732	RAP1B,RAP2B,IL6ST,PIK3R1,PIK3CG,SOS2,MAP3K7,SMAD4,LEF1,STAT3,CTNNB1,MAP2K1
Acute Myeloid Leukemia Signaling	2.85E00	1.11E-01	-2.714	BRAF,RAP1B,RAP2B,RELA,PIK3R1,PIK3CG,SOS2,LEF1,STAT3,NFKB1,MAP2K1
Non-Small Cell Lung Cancer Signaling	2.83E00	1.18E-01	-2.121	RAP1B,RAP2B,PIK3R1,PIK3CG,SOS2,ABL1,ITPR1,RASSF5,MAP2K1,RASSF1
HIPPO signaling	2.83E00	1.18E-01	1.890	YWHAQ,ITCH,PPP2R2A,PPP2CA,CUL1,YWHAZ,PPP1CB,SMAD4,PPP2R5A,RASSF1
Caveolar-mediated Endocytosis Signaling	2.82E00	1.27E-01	NaN	ITGAE,FYN,ITGB2,RAB5A,CD55,ABL1,COPB2,COPB1,MAP3K2
TR/RXR Activation	2.81E00	1.1E-01	NaN	CAMK4,NCOA2,PDE3B,PIK3R1,PIK3CG,STRBP,MDM2,HIF1A,NCOA3,NCOA4,EP300
Angiopoietin Signaling	2.79E00	1.16E-01	-1.414	RAP1B,RAP2B,RELA,FOXO1,PIK3R1,PIK3CG,CRK,NCK1,NFKB1,RASA1
Endometrial Cancer Signaling	2.78E00	1.25E-01	-1.890	RAP1B,RAP2B,PIK3R1,PIK3CG,SOS2,LEF1,CTNNB1,MAP2K1,PTEN
Thyroid Cancer Signaling	2.77E00	1.52E-01	NaN	BRAF,RAP1B,RAP2B,SHC1,LEF1,CTNNB1,MAP2K1
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.73E00	2.08E-01	NaN	SOCS1,RELA,STAT3,NFKB1,IFNAR1
IL-17A Signaling in Fibroblasts	2.71E00	1.71E-01	NaN	TRAF6,RELA,MAP3K7,CEBPB,NFKB1,NFKBIZ
nNOS Signaling in Neurons	2.71E00	1.49E-01	NaN	CAMK4,PRKCQ,PPP3R1,PRKCH,CAPN2,CAPN7,PRKCB
Colorectal Cancer Metastasis Signaling	2.7E00	7.84E-02	-3.441	RAP2B,RAP1B,IL6ST,RELA,CASP3,PIK3R1,IL6R,SOS2,STAT3,NFKB1,RHOH,BRAF,PIK3CG,PRKAG2,SMAD4,LEF1,CTNNB1,MAP2K1,PTGER4,PRKAR1A
Tight Junction Signaling	2.69E00	8.93E-02	NaN	RELA,VTI1A,PPP2CA,PPP2R2A,NAPG,NFKB1,PPP2R5A,PTEN,EPB41,PRKAG2,VAMP3,STX16,SAFB,CTNNB1,PRKAR1A
RANK Signaling in Osteoclasts	2.68E00	1.06E-01	-2.111	TRAF6,RELA,CAMK4,PPP3R1,PIK3R1,PIK3CG,MAP3K7,MAP3K8,NFKB1,MAP2K1,MAP3K2
Macropinocytosis Signaling	2.67E00	1.12E-01	-2.121	RAP1B,RAP2B,ITGB2,RAB5A,ARF6,PRKCQ,PIK3R1,PIK3CG,PRKCH,PRKCB
Th2 Pathway	2.67E00	9.21E-02	-1.155	SOCS3,PRKCQ,PIK3R1,IL12RB2,TBX21,NFKB1,STAT4,ITGB2,PIK3CG,GFI1,ICOS,CXCR6,IL2RA,HLA-DQA2
autophagy	2.66E00	1.31E-01	NaN	STX17,ATG13,ULK1,CTSW,MAP1LC3A,SQSTM1,CTSC,ATG16L1
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.64E00	2E-01	NaN	IL6ST,SOCS1,SOCS3,IL6R,STAT3
Renal Cell Carcinoma Signaling	2.64E00	1.11E-01	-2.121	RAP1B,RAP2B,ETS1,PIK3R1,PIK3CG,SOS2,CRK,HIF1A,MAP2K1,EP300
Glioblastoma Multiforme Signaling	2.64E00	8.82E-02	-2.496	RAP1B,RAP2B,PIK3R1,SOS2,MDM2,ITPR1,RHOH,PTEN,SHC1,FOXO1,NF1,PIK3CG,LEF1,CTNNB1,MAP2K1
Actin Nucleation by ARP-WASP Complex	2.62E00	1.29E-01	-2.449	RAP2B,RAP1B,NCK2,ACTR2,ACTR3,SOS2,NCK1,RHOH
UVC-Induced MAPK Signaling	2.61E00	1.43E-01	-2.646	BRAF,RAP1B,RAP2B,PRKCQ,PRKCH,MAP2K1,PRKCB
Type II Diabetes Mellitus Signaling	2.59E00	9.03E-02	-1.265	RELA,SOCS3,SOCS1,PRKCQ,PIK3CG,PIK3R1,PRKAG2,MAP3K7,ACSL4,PRKCH,CEBPB,NFKB1,ACSL1,PRKCB
Adrenomedullin signaling pathway	2.58E00	8.21E-02	-3.500	RAP2B,RAP1B,RELA,CAMK4,CASP3,PIK3R1,SOS2,ITPR1,CEBPB,HIF1A,NFKB1,BRAF,SHC1,PIK3CG,PRKAG2,MAP2K1,PRKAR1A
Myc Mediated Apoptosis Signaling	2.58E00	1.17E-01	NaN	YWHAQ,RAP1B,RAP2B,SHC1,CASP3,PIK3R1,PIK3CG,SOS2,YWHAZ
FAK Signaling	2.58E00	1.03E-01	NaN	RAP1B,RAP2B,FYN,PIK3R1,PIK3CG,SOS2,CRK,CAPN2,CAPN7,MAP2K1,PTEN
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.57E00	1.27E-01	-1.414	TANK,TRAF6,RELA,ZBP1,SIKE1,IRF9,NFKB1,IFNAR1
Melanoma Signaling	2.57E00	1.27E-01	-1.890	RAP2B,RAP1B,BRAF,PIK3R1,PIK3CG,MDM2,MAP2K1,PTEN
α-Adrenergic Signaling	2.57E00	1.09E-01	-2.828	RAP1B,RAP2B,PRKCQ,CAMK4,PRKAG2,PRKCH,ITPR1,MAP2K1,PRKCB,PRKAR1A
FLT3 Signaling in Hematopoietic Progenitor Cells	2.57E00	1.09E-01	-2.530	STAT4,RAP1B,RAP2B,SHC1,PIK3R1,PIK3CG,SOS2,RPS6KA3,STAT3,MAP2K1
mTOR Signaling	2.56E00	8.17E-02	-0.728	RAP2B,RAP1B,ULK1,PRKCQ,PPP2CA,PPP2R2A,PIK3R1,RPS6KA3,HIF1A,RICTOR,RHOH,PPP2R5A,ATG13,PIK3CG,PRKAG2,PRKCH,PRKCB
Cardiac β-adrenergic Signaling	2.55E00	9.29E-02	-0.632	AKAP5,PDE7A,PPP2CA,PPP2R2A,PPP1CB,PDE4B,PPP2R5A,AKAP11,AKAP13,PDE3B,PRKAG2,PDE4D,PRKAR1A
IL-17 Signaling	2.53E00	1.08E-01	NaN	RAP1B,RAP2B,TRAF6,RELA,PIK3R1,PIK3CG,MAP3K7,CEBPB,NFKB1,MAP2K1
PAK Signaling	2.51E00	1.01E-01	-1.508	NCK2,RAP1B,RAP2B,SHC1,CASP3,PIK3R1,PIK3CG,SOS2,LIMK2,NCK1,MAP2K1
Thrombin Signaling	2.49E00	8.06E-02	-3.500	RAP2B,RAP1B,RELA,CAMK4,PRKCQ,PIK3R1,PPP1CB,ARHGEF1,ITPR1,NFKB1,RHOH,SHC1,PIK3CG,PRKCH,ARHGEF3,MAP2K1,PRKCB
Gα12/13 Signaling	2.47E00	9.09E-02	-2.496	RAP1B,RAP2B,RELA,PIK3R1,ARHGEF1,NFKB1,LPAR6,LPAR2,VAV3,PIK3CG,CTNNB1,RASA1,MAP2K1
IL-17A Signaling in Airway Cells	2.46E00	1.12E-01	-1.667	TRAF6,RELA,PIK3R1,PIK3CG,MAP3K7,STAT3,NFKB1,MAP2K1,PTEN
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	2.44E00	9.03E-02	-3.606	WBP11,SOCS3,ATP1A1,DUSP1,DUSP10,PPTC7,ACP5,PPM1K,NUDT4,RASA1,DUSP2,PPP2R5A,PTEN
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	2.44E00	9.03E-02	-3.606	WBP11,SOCS3,ATP1A1,DUSP1,DUSP10,PPTC7,ACP5,PPM1K,NUDT4,RASA1,DUSP2,PPP2R5A,PTEN
VEGF Family Ligand-Receptor Interactions	2.43E00	1.04E-01	-2.530	RAP1B,RAP2B,SHC1,PRKCQ,PIK3R1,PIK3CG,SOS2,PRKCH,MAP2K1,PRKCB
D-myo-inositol-5-phosphate Metabolism	2.42E00	8.64E-02	-3.742	WBP11,SOCS3,PPTC7,ACP5,PPM1K,DUSP2,PPP2R5A,PTEN,ATP1A1,DUSP1,DUSP10,NUDT4,RASA1,PIP4K2C
Gαq Signaling	2.42E00	8.64E-02	-2.673	RELA,RGS2,CAMK4,PRKCQ,NFATC3,PIK3R1,ITPR1,NFKB1,RHOH,PPP3R1,PIK3CG,PRKCH,MAP2K1,PRKCB
ILK Signaling	2.41E00	8.12E-02	-1.000	RELA,CASP3,PPP2CA,PPP2R2A,PIK3R1,HIF1A,NFKB1,RICTOR,RHOH,PPP2R5A,PTEN,NCK2,ITGB2,PIK3CG,LEF1,CTNNB1
Oncostatin M Signaling	2.41E00	1.5E-01	-2.449	RAP1B,RAP2B,IL6ST,SHC1,STAT3,MAP2K1
CD27 Signaling in Lymphocytes	2.41E00	1.32E-01	-1.134	RELA,CASP3,MAP3K7,MAP3K8,NFKB1,MAP2K1,MAP3K2
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	2.37E00	9.23E-02	-2.530	RAP1B,RAP2B,IL6ST,SHC1,RIF1,PIK3R1,PIK3CG,SOS2,SMAD4,STAT3,CTNNB1,MAP2K1
S-adenosyl-L-methionine Biosynthesis	2.37E00	6.67E-01	NaN	MAT2A,MAT2B
Role of PKR in Interferon Induction and Antiviral Response	2.35E00	1.46E-01	NaN	TRAF6,RELA,CASP3,MAP3K7,EIF2AK2,NFKB1
Nitric Oxide Signaling in the Cardiovascular System	2.34E00	9.57E-02	-2.714	PRKCQ,CAMK4,PDE3B,PIK3R1,PIK3CG,PRKAG2,PRKCH,ITPR1,MAP2K1,PRKCB,PRKAR1A
CREB Signaling in Neurons	2.33E00	7.76E-02	-3.207	POLR2J2/POLR2J3,RAP2B,RAP1B,POLR2D,CAMK4,PRKCQ,PIK3R1,SOS2,ITPR1,EP300,SHC1,PIK3CG,PRKAG2,PRKCH,MAP2K1,PRKAR1A,PRKCB
AMPK Signaling	2.33E00	7.76E-02	0.258	PFKFB3,CAB39,ULK1,PPP2CA,PPP2R2A,EEF2,PIK3R1,ARID2,PPP2R5A,EP300,PPM1D,FOXO1,PPM1B,PIK3CG,MAP3K7,PRKAG2,PRKAR1A
EGF Signaling	2.29E00	1.14E-01	-1.414	SHC1,PIK3R1,PIK3CG,SOS2,ITPR1,STAT3,MAP2K1,RASA1
TNFR2 Signaling	2.28E00	1.67E-01	-1.000	TANK,RELA,TNFAIP3,NFKB1,TRAF1
Ceramide Signaling	2.27E00	9.9E-02	-2.530	RAP1B,RAP2B,RELA,PPP2R2A,PPP2CA,PIK3R1,PIK3CG,NFKB1,MAP2K1,PPP2R5A
IL-8 Signaling	2.27E00	7.84E-02	-2.840	RAP2B,RAP1B,RELA,PRKCQ,PIK3R1,LIMK2,IQGAP1,NFKB1,RHOH,TRAF6,BRAF,ITGB2,PIK3CG,PRKCH,MAP2K1,PRKCB
Growth Hormone Signaling	2.25E00	1.05E-01	-1.000	SOCS3,SOCS1,PRKCQ,PIK3R1,PIK3CG,RPS6KA3,PRKCH,STAT3,PRKCB
Virus Entry via Endocytic Pathways	2.25E00	9.32E-02	NaN	RAP1B,RAP2B,FYN,ITGB2,CD55,PRKCQ,PIK3R1,PIK3CG,ABL1,PRKCH,PRKCB
CNTF Signaling	2.25E00	1.13E-01	-2.121	RAP2B,RAP1B,IL6ST,PIK3R1,PIK3CG,RPS6KA3,STAT3,MAP2K1
Melatonin Signaling	2.21E00	1.11E-01	-2.646	BRAF,CAMK4,PRKCQ,PRKAG2,PRKCH,MAP2K1,PRKCB,PRKAR1A
Tec Kinase Signaling	2.21E00	8.19E-02	-3.207	RELA,FYN,PRKCQ,PIK3R1,STAT3,NFKB1,RHOH,STAT4,LCK,VAV3,PIK3CG,PRKCH,PRKCB,ITK
CCR3 Signaling in Eosinophils	2.19E00	8.76E-02	-2.121	RAP1B,RAP2B,PRKCQ,CAMK4,PIK3R1,PIK3CG,PPP1CB,LIMK2,PRKCH,ITPR1,MAP2K1,PRKCB
Gap Junction Signaling	2.19E00	7.69E-02	NaN	RAP2B,RAP1B,PRKCQ,PIK3R1,SOS2,ITPR1,SP3,PIK3CG,PPP3R1,PRKAG2,PRKCH,CTNNB1,MAP2K1,PRKCB,MAP3K2,PRKAR1A
Leptin Signaling in Obesity	2.19E00	1.02E-01	-0.378	SOCS3,FOXO1,PDE3B,PIK3R1,PIK3CG,PRKAG2,STAT3,MAP2K1,PRKAR1A
cAMP-mediated signaling	2.18E00	7.49E-02	-1.604	AKAP5,RGS2,CAMK4,PDE7A,STAT3,PDE4B,AKAP11,BRAF,AKAP13,DUSP1,PDE3B,PPP3R1,PDE4D,ADORA2A,MAP2K1,PTGER4,PRKAR1A
Paxillin Signaling	2.17E00	9.09E-02	-1.667	NCK2,ITGAE,RAP1B,RAP2B,ITGB2,ARF6,PIK3R1,PIK3CG,SOS2,CRK,NCK1
4-1BB Signaling in T Lymphocytes	2.16E00	1.56E-01	-2.236	RELA,TNFRSF9,NFKB1,MAP2K1,TRAF1
CDK5 Signaling	2.16E00	9.52E-02	-2.530	RAP1B,RAP2B,PPP2R2A,PPP2CA,ABL1,PRKAG2,PPP1CB,MAP2K1,PPP2R5A,PRKAR1A
Hypoxia Signaling in the Cardiovascular System	2.14E00	1.08E-01	-1.000	UBE2H,UBE2V1,UBE2Z,MDM2,HIF1A,UBE2J2,PTEN,EP300
Endoplasmic Reticulum Stress Pathway	2.12E00	1.9E-01	NaN	DDIT3,CASP3,ERN1,HSPA5
P2Y Purigenic Receptor Signaling Pathway	2.12E00	8.57E-02	-2.887	RAP1B,RAP2B,RELA,PRKCQ,PIK3R1,PIK3CG,PRKAG2,PRKCH,NFKB1,MAP2K1,PRKCB,PRKAR1A
3-phosphoinositide Degradation	2.11E00	8.23E-02	-3.606	WBP11,SOCS3,ATP1A1,DUSP1,DUSP10,PPTC7,ACP5,PPM1K,NUDT4,RASA1,DUSP2,PPP2R5A,PTEN
Cholecystokinin/Gastrin-mediated Signaling	2.1E00	9.35E-02	-3.162	RAP1B,RAP2B,SHC1,PRKCQ,SOS2,PRKCH,ITPR1,RHOH,MAP2K1,PRKCB
IL-9 Signaling	2.06E00	1.28E-01	-0.816	SOCS3,RELA,PIK3R1,PIK3CG,STAT3,NFKB1
Role of JAK2 in Hormone-like Cytokine Signaling	2.05E00	1.47E-01	NaN	SOCS1,SOCS3,SHC1,EPOR,STAT3
Chemokine Signaling	2.04E00	1.04E-01	-0.707	RAP1B,RAP2B,CAMK4,PIK3CG,PPP1CB,LIMK2,MAP2K1,PRKCB
TGF-β Signaling	2.03E00	9.68E-02	-3.000	RAP1B,RAP2B,TRAF6,SOS2,MAP3K7,SMAD4,MAP2K1,TGIF1,EP300
Fc Epsilon RI Signaling	2.02E00	8.66E-02	-2.714	RAP1B,RAP2B,FYN,PRKCQ,PIK3R1,PIK3CG,VAV3,SOS2,PRKCH,MAP2K1,PRKCB
Reelin Signaling in Neurons	2.01E00	9.57E-02	NaN	PAFAH1B2,FYN,ITGB2,LCK,CRKL,PIK3R1,PIK3CG,ARHGEF1,ARHGEF3
Axonal Guidance Signaling	2E00	6.02E-02	NaN	RAP2B,RAP1B,FYN,ERAP2,NFATC3,PIK3R1,SOS2,ABL1,LIMK2,CRK,NCK1,ABLIM1,NCK2,SHC1,ACTR3,PIK3CG,PPP3R1,SEMA4A,RASSF5,RASA1,MAP2K1,ACTR2,PRKCQ,CRKL,SRGAP3,SDCBP,PRKAG2,PRKCH,PRKAR1A,PRKCB
Relaxin Signaling	2E00	7.98E-02	-2.333	BRAF,RAP1B,RELA,PDE7A,PDE3B,PIK3CG,PIK3R1,PRKAG2,PDE4D,PDE4B,NFKB1,MAP2K1,PRKAR1A
Sperm Motility	1.99E00	8.59E-02	-3.317	PAFAH1B2,TWF1,PRKCQ,CAMK4,PRKAG2,PDE4D,PRKCH,ITPR1,PDE4B,PRKCB,PRKAR1A
VEGF Signaling	1.99E00	9.01E-02	-1.667	RAP1B,RAP2B,SHC1,FOXO1,PIK3R1,PIK3CG,SOS2,HIF1A,MAP2K1,PRKCB
IL-4 Signaling	1.95E00	9.38E-02	NaN	RAP1B,RAP2B,SOCS1,SHC1,IRF4,NFATC3,PIK3R1,PIK3CG,SOS2
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.94E00	1E-01	-1.633	RELA,PIK3R1,CRKL,PIK3CG,CRK,NFKB1,MAP2K1,IFNAR1
Phagosome Maturation	1.94E00	8.11E-02	NaN	ATP6V0E2,RAB5A,VTI1A,CTSW,VAMP3,NAPG,VPS37B,STX16,CTSC,ATP6V1A,TAP1,EEA1
Netrin Signaling	1.92E00	1.08E-01	NaN	NCK2,NFATC3,PPP3R1,PRKAG2,NCK1,ABLIM1,PRKAR1A
Ovarian Cancer Signaling	1.87E00	7.95E-02	-2.121	BRAF,RAP1B,RAP2B,PIK3R1,PIK3CG,ABL1,PRKAG2,LEF1,CTNNB1,MAP2K1,PTEN,PRKAR1A
Cell Cycle: G1/S Checkpoint Regulation	1.86E00	1.04E-01	-1.342	RBL2,FOXO1,CUL1,ABL1,SMAD4,FBXL5,MDM2
Adipogenesis pathway	1.85E00	8.21E-02	NaN	CTBP1,NR1D2,CCNH,KAT7,DDIT3,FOXO1,TXNIP,FBXW7,HIF1A,CEBPB,CTNNB1
Clathrin-mediated Endocytosis Signaling	1.83E00	7.18E-02	NaN	ACTR2,EPS15,PICALM,PIK3R1,USP9X,NUMB,MDM2,HSPA8,ITGB2,ARF6,RAB5A,ACTR3,SNX9,PPP3R1,PIK3CG
UVB-Induced MAPK Signaling	1.82E00	1.03E-01	-1.890	PRKCQ,PIK3R1,PIK3CG,RPS6KA3,PRKCH,MAP2K1,PRKCB
Neurotrophin/TRK Signaling	1.82E00	9.52E-02	-2.121	RAP2B,RAP1B,SHC1,SPRY1,PIK3R1,PIK3CG,SOS2,MAP2K1
April Mediated Signaling	1.8E00	1.28E-01	-2.236	TRAF6,RELA,NFATC3,NFKB1,TRAF1
G Beta Gamma Signaling	1.8E00	8.4E-02	-2.530	RAP1B,RAP2B,SHC1,PRKCQ,PIK3CG,SOS2,PRKAG2,PRKCH,PRKCB,PRKAR1A
Remodeling of Epithelial Adherens Junctions	1.79E00	1.01E-01	-1.633	ACTR2,RAB5A,ARF6,ACTR3,IQGAP1,CTNNB1,MAPRE2
14-3-3-mediated Signaling	1.75E00	7.91E-02	-2.530	YWHAQ,RAP1B,RAP2B,PRKCQ,FOXO1,PIK3R1,PIK3CG,YWHAZ,PRKCH,MAP2K1,PRKCB
Telomere Extension by Telomerase	1.74E00	2E-01	NaN	XRCC6,TERF2IP,XRCC5
Small Cell Lung Cancer Signaling	1.74E00	9.2E-02	-1.633	TRAF6,RELA,PIK3CG,PIK3R1,ABL1,NFKB1,TRAF1,PTEN
B Cell Activating Factor Signaling	1.71E00	1.22E-01	-2.236	TRAF6,RELA,NFATC3,NFKB1,TRAF1
Granzyme B Signaling	1.67E00	1.88E-01	NaN	PRF1,CASP3,LMNB1
Corticotropin Releasing Hormone Signaling	1.66E00	7.69E-02	-3.162	BRAF,RAP1B,PRKCQ,CAMK4,PRKAG2,JUND,PRKCH,ITPR1,MAP2K1,PRKCB,PRKAR1A
Dopamine-DARPP32 Feedback in cAMP Signaling	1.64E00	7.36E-02	-2.887	PRKCQ,CAMK4,PPP2R2A,PPP2CA,PPP3R1,PRKAG2,PPP1CB,PRKCH,ITPR1,PPP2R5A,PRKCB,PRKAR1A
FGF Signaling	1.61E00	8.7E-02	-2.121	PIK3R1,CRKL,PIK3CG,SOS2,CRK,ITPR1,STAT3,MAP2K1
Endocannabinoid Developing Neuron Pathway	1.6E00	7.81E-02	-2.121	BRAF,RAP1B,RAP2B,PIK3R1,PIK3CG,PRKAG2,STAT3,CTNNB1,MAP2K1,PRKAR1A
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.59E00	1.14E-01	-2.000	TANK,TRAF6,RELA,NFKB1,EP300
Toll-like Receptor Signaling	1.58E00	9.21E-02	-1.000	TRAF6,RELA,MAP3K7,TNFAIP3,EIF2AK2,NFKB1,TRAF1
IL-7 Signaling Pathway	1.58E00	8.6E-02	-1.134	SOCS1,FYN,SHC1,FOXO1,PIK3R1,PIK3CG,SOS2,MCL1
Type I Diabetes Mellitus Signaling	1.58E00	8.11E-02	-1.134	TRAF6,SOCS3,SOCS1,RELA,PRF1,CASP3,MAP3K7,HSPD1,NFKB1
Dopamine Receptor Signaling	1.56E00	9.09E-02	NaN	PPP2R2A,PPP2CA,PTS,PRKAG2,PPP1CB,PPP2R5A,PRKAR1A
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.55E00	1.11E-01	-2.236	TRAF6,RELA,RPS6KA3,NFKB1,MAP2K1
PEDF Signaling	1.53E00	8.42E-02	-1.414	RAP2B,RAP1B,RELA,PIK3R1,PIK3CG,ZEB1,CFLAR,NFKB1
Role of Tissue Factor in Cancer	1.52E00	7.58E-02	NaN	RAP1B,RAP2B,FYN,LCK,CASP3,PIK3R1,PIK3CG,RPS6KA3,LIMK2,PTEN
FAT10 Cancer Signaling Pathway	1.52E00	1.09E-01	-2.236	RELA,SMAD4,STAT3,NFKB1,CTNNB1
ATM Signaling	1.49E00	8.25E-02	1.134	GADD45A,PPP2R2A,PPP2CA,ABL1,MDM2,ZEB1,PPP2R5A,PPM1D
Fatty Acid β-oxidation I	1.49E00	1.25E-01	-1.000	ACSL4,IVD,HADHA,ACSL1
Signaling by Rho Family GTPases	1.47E00	6.35E-02	-3.000	RELA,ACTR2,PIK3R1,ARHGEF1,LIMK2,IQGAP1,NFKB1,RHOH,PKN1,ACTR3,PIK3CG,EZR,ARHGEF3,MAP2K1,PIP4K2C,SEPT2
Cyclins and Cell Cycle Regulation	1.45E00	8.64E-02	1.000	CCNH,PPP2R2A,PPP2CA,CUL1,ABL1,FBXL5,PPP2R5A
Neuropathic Pain Signaling In Dorsal Horn Neurons	1.45E00	7.69E-02	-2.333	PRKCQ,CAMK4,PIK3R1,PIK3CG,PRKAG2,PRKCH,ITPR1,PRKCB,PRKAR1A
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.43E00	6.38E-02	NaN	RELA,CAMK4,NFATC3,PIK3R1,ACP5,NFKB1,IL18RAP,TRAF6,FOXO1,PPP3R1,PIK3CG,MAP3K7,SMAD4,LEF1,CTNNB1
SPINK1 General Cancer Pathway	1.43E00	8.54E-02	-1.890	RAP2B,RAP1B,PIK3R1,PIK3CG,IL6R,STAT3,MAP2K1
Acyl Carrier Protein Metabolism	1.42E00	1E00	NaN	AASDHPPT
Glutamine Biosynthesis I	1.42E00	1E00	NaN	GLUL
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.4E00	7.92E-02	NaN	FYN,LCK,PPP2R2A,PPP2CA,PIK3R1,PIK3CG,CTLA4,PPP2R5A
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.39E00	7.19E-02	-2.333	TRAF6,RELA,OAS1,PRKCQ,PIK3R1,PIK3CG,PRKCH,EIF2AK2,NFKB1,PRKCB
TNFR1 Signaling	1.38E00	1E-01	-1.000	TANK,RELA,CASP3,TNFAIP3,NFKB1
TWEAK Signaling	1.36E00	1.14E-01	-1.000	RELA,CASP3,NFKB1,TRAF1
Nucleotide Excision Repair Pathway	1.36E00	1.14E-01	NaN	POLR2J2/POLR2J3,CCNH,POLR2D,RAD23B
Hepatic Cholestasis	1.36E00	6.88E-02	NaN	TRAF6,RELA,PRKCQ,ABCC1,MAP3K7,PRKAG2,PRKCH,NFKB1,IL18RAP,PRKCB,PRKAR1A
Phosphatidylethanolamine Biosynthesis II	1.36E00	2.22E-01	NaN	CEPT1,ETNK1
Germ Cell-Sertoli Cell Junction Signaling	1.35E00	6.67E-02	NaN	RAP1B,RAP2B,PIK3R1,PIK3CG,MAP3K7,LIMK2,MAP3K8,IQGAP1,CTNNB1,RHOH,MAP2K1,MAP3K2
Pancreatic Adenocarcinoma Signaling	1.35E00	7.38E-02	-1.134	RELA,PIK3R1,PIK3CG,ABL1,SMAD4,MDM2,STAT3,NFKB1,MAP2K1
Cardiac Hypertrophy Signaling	1.34E00	6.2E-02	-2.840	RAP2B,RAP1B,CAMK4,PIK3R1,IL6R,RHOH,EP300,PIK3CG,PPP3R1,MAP3K7,PRKAG2,MAP3K8,MAP2K1,MAP3K2,PRKAR1A
Estrogen-Dependent Breast Cancer Signaling	1.31E00	8.05E-02	-1.633	RAP1B,RAP2B,RELA,PIK3R1,PIK3CG,HSD17B11,NFKB1
Cell Cycle Regulation by BTG Family Proteins	1.29E00	1.08E-01	NaN	PPP2R2A,PPP2CA,BTG2,PPP2R5A
Regulation of eIF4 and p70S6K Signaling	1.28E00	6.67E-02	-0.632	RAP1B,RAP2B,SHC1,PPP2R2A,PPP2CA,PIK3R1,PIK3CG,SOS2,PAIP2,MAP2K1,PPP2R5A
Crosstalk between Dendritic Cells and Natural Killer Cells	1.27E00	7.87E-02	NaN	RELA,PRF1,KLRD1,CD69,CD226,NFKB1,CCR7
IL-22 Signaling	1.21E00	1.25E-01	NaN	SOCS3,IL10RB,STAT3
Tumoricidal Function of Hepatic Natural Killer Cells	1.21E00	1.25E-01	NaN	SERPINB9,PRF1,CASP3
Factors Promoting Cardiogenesis in Vertebrates	1.2E00	7.61E-02	NaN	PRKCQ,MAP3K7,SMAD4,LEF1,PRKCH,CTNNB1,PRKCB
Death Receptor Signaling	1.18E00	7.53E-02	-1.633	TANK,RELA,CASP3,PARP15,PARP8,CFLAR,NFKB1
CXCR4 Signaling	1.17E00	6.4E-02	-2.714	RAP1B,RAP2B,PRKCQ,PIK3R1,PIK3CG,PRKCH,CRK,ITPR1,RHOH,MAP2K1,PRKCB
Hereditary Breast Cancer Signaling	1.17E00	6.58E-02	NaN	RAP1B,RAP2B,POLR2J2/POLR2J3,POLR2D,GADD45A,PIK3R1,PIK3CG,ARID2,PTEN,EP300
UVA-Induced MAPK Signaling	1.16E00	7.08E-02	-1.342	RAP2B,RAP1B,CASP3,PARP15,PIK3R1,PIK3CG,RPS6KA3,PARP8
Bladder Cancer Signaling	1.16E00	7.45E-02	NaN	RAP2B,RAP1B,THBS1,ABL1,MDM2,MAP2K1,RASSF1
Mechanisms of Viral Exit from Host Cells	1.15E00	9.76E-02	NaN	PRKCQ,PRKCH,LMNB1,PRKCB
