© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.82E00	9.52E-02	0.000	NFKBID,IL10,CREBBP,NFKB2,NFKB1,NFKBIB
Gα12/13 Signaling	1.82E00	7.09E-02	-1.414	NFKBID,AKT2,MEF2D,RHOA,CDH23,ARHGEF1,NFKB2,NFKB1,CTNNB1,NFKBIB
IL-15 Signaling	1.8E00	8.54E-02	NaN	BCL2L1,CXCL8,AKT2,STAT3,NFKB2,JAK3,NFKB1
Pyridoxal 5'-phosphate Salvage Pathway	1.76E00	9.23E-02	-2.449	AKT2,SGK1,CDK4,MAP3K8,MAP2K3,ACVR2A
RhoA Signaling	1.75E00	7.26E-02	-1.414	ACTR3,CFL1,IGF1,ABL2,EZR,RHOA,ARHGAP4,CDC42EP3,ARHGEF1
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1.74E00	1.67E-01	NaN	IL10,IL1B,CCL5
Apelin Endothelial Signaling Pathway	1.73E00	7.2E-02	-2.333	GNAI2,FOS,AKT2,ICAM1,SMAD3,MEF2D,NFKB2,NFKB1,PRKCB
Adenine and Adenosine Salvage III	1.72E00	2.86E-01	NaN	ADA,PNP
FXR/RXR Activation	1.71E00	7.14E-02	NaN	IL1A,AKT2,C3,IL1RN,RARA,CREBBP,IL1B,RXRA,CLU
Endocannabinoid Developing Neuron Pathway	1.69E00	7.09E-02	-2.828	GNAI2,AKT2,RHOA,CREBBP,PRKACA,MAP2K3,STAT3,CTNNB1,AKT1S1
TNFR1 Signaling	1.68E00	1E-01	-2.236	FOS,NFKBID,NFKB2,NFKB1,NFKBIB
Agranulocyte Adhesion and Diapedesis	1.67E00	6.22E-02	NaN	GNAI2,CXCL8,IL1A,C5AR1,ICAM1,IL1RN,EZR,IL1B,IL1R1,CCL5,CXCL2,CCL4L1/CCL4L2
fMLP Signaling in Neutrophils	1.65E00	6.98E-02	-1.667	GNAI2,NFKBID,ACTR3,WAS,NFKB2,NFKB1,NFKBIB,NFATC1,PRKCB
Remodeling of Epithelial Adherens Junctions	1.65E00	8.7E-02	NaN	ACTR3,RAB7A,TUBA4A,ZYX,VCL,CTNNB1
IL-3 Signaling	1.63E00	7.87E-02	-1.890	GAB2,FOS,AKT2,BAD,IL3RA,STAT3,PRKCB
Prolactin Signaling	1.63E00	7.87E-02	-1.342	SOCS3,FYN,FOS,CREBBP,CEBPB,STAT3,PRKCB
MIF-mediated Glucocorticoid Regulation	1.61E00	1.14E-01	-2.000	NFKBID,NFKB2,NFKB1,NFKBIB
Gαs Signaling	1.61E00	7.27E-02	-1.414	HCAR3,ADD3,CREBBP,PRKACA,HCK,PTGER2,HCAR2,ADRB2
Purine Ribonucleosides Degradation to Ribose-1-phosphate	1.6E00	2.5E-01	NaN	ADA,PNP
Estrogen Receptor Signaling	1.55E00	6.72E-02	NaN	CTBP1,DDX5,POLR2A,CREBBP,GTF2F1,TAF10,TAF2,MED12,NCOA3
Neuregulin Signaling	1.54E00	7.53E-02	-1.342	AKT2,BAD,ERBIN,CRK,EREG,PRKCB,AREG
LPS-stimulated MAPK Signaling	1.54E00	7.53E-02	-1.890	FOS,NFKBID,MAP2K3,NFKB2,NFKBIB,NFKB1,PRKCB
Death Receptor Signaling	1.54E00	7.53E-02	-0.378	NFKBID,NFKB2,CFLAR,NFKB1,TNFRSF1B,NFKBIB,MAP4K4
TGF-β Signaling	1.54E00	7.53E-02	-2.646	TGFBR2,FOS,SMAD3,CREBBP,MAP2K3,TGIF1,ACVR2A
Cell Cycle Regulation by BTG Family Proteins	1.53E00	1.08E-01	NaN	BTG2,BTG1,CDK4,NOCT
HER-2 Signaling in Breast Cancer	1.51E00	7.45E-02	NaN	TP53,AKT2,BAD,CDKN1A,GSK3A,AREG,PRKCB
14-3-3-mediated Signaling	1.5E00	6.57E-02	-0.707	FOS,AKT2,BAD,TUBA4A,YWHAZ,VIM,GSK3A,AKT1S1,PRKCB
Xanthine and Xanthosine Salvage	1.5E00	1E00	NaN	PNP
Antigen Presentation Pathway	1.49E00	1.05E-01	NaN	HLA-G,HLA-C,HLA-DQA2,HLA-DRB5
Hypoxia Signaling in the Cardiovascular System	1.49E00	8E-02	-1.000	TP53,NFKBID,UBE2J1,CREBBP,UBE2S,NFKBIB
mTOR Signaling	1.48E00	5.83E-02	-1.890	PLD4,AKT2,DDIT4,RHOA,RPS9,FKBP1A,EIF4A2,RPS2,AKT1S1,RPS11,EIF4B,PRKCB
Gαq Signaling	1.47E00	6.21E-02	-1.414	PLD4,NFKBID,AKT2,GRK2,RHOA,NFKB2,NFKB1,NFKBIB,NFATC1,PRKCB
Sertoli Cell-Sertoli Cell Junction Signaling	1.47E00	5.98E-02	NaN	EPN1,AKT2,WAS,TUBA4A,PRKACA,YBX3,MAP3K8,MAP2K3,GSK3A,VCL,CTNNB1
Chondroitin Sulfate Biosynthesis	1.46E00	8.77E-02	-1.342	CSGALNACT2,CHST7,XYLT1,CHSY1,CHPF2
Salvage Pathways of Pyrimidine Ribonucleotides	1.45E00	7.22E-02	-2.646	AKT2,SGK1,CDK4,MAP2K3,MAP3K8,ACVR2A,APOBEC3A
Chemokine Signaling	1.44E00	7.79E-02	-1.633	GNAI2,FOS,CFL1,RHOA,CCL5,PRKCB
HGF Signaling	1.44E00	6.72E-02	-1.633	FOS,ELF2,AKT2,ETS2,CDKN1A,MAP3K8,STAT3,PRKCB
Nur77 Signaling in T Lymphocytes	1.4E00	8.47E-02	NaN	MEF2D,NR4A1,RXRA,HLA-DRB5,NFATC1
IL-22 Signaling	1.4E00	1.25E-01	NaN	SOCS3,AKT2,STAT3
Tumoricidal Function of Hepatic Natural Killer Cells	1.4E00	1.25E-01	NaN	SERPINB9,ICAM1,SRGN
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.4E00	1.25E-01	NaN	NFKB2,STAT3,NFKB1
CDP-diacylglycerol Biosynthesis I	1.4E00	1.25E-01	NaN	LPCAT1,CRLS1,GPAT3
GM-CSF Signaling	1.4E00	7.59E-02	-1.633	BCL2L1,AKT2,CISH,HCK,STAT3,PRKCB
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.36E00	1.2E-01	NaN	SOCS3,IL6R,STAT3
Insulin Receptor Signaling	1.35E00	6.16E-02	0.333	FYN,SOCS3,AKT2,BAD,SGK1,FOXO3,PRKACA,GSK3A,CRK
Melanoma Signaling	1.35E00	8.2E-02	0.447	TP53,AKT2,BAD,CDKN1A,CDK4
NGF Signaling	1.35E00	6.45E-02	-2.828	TP53,AKT2,RHOA,CREBBP,CRK,MAP3K8,NFKB2,NFKB1
GNRH Signaling	1.32E00	5.85E-02	-1.667	GNAI2,FOS,CREBBP,PRKACA,MAP3K8,MAP2K3,CACNB2,NFKB2,NFKB1,PRKCB
Phagosome Maturation	1.32E00	6.08E-02	NaN	ATP6V0C,HLA-C,ATP6V1C1,TCIRG1,ATP6V0D1,RAB7A,TUBA4A,VPS37B,HLA-DRB5
Antiproliferative Role of TOB in T Cell Signaling	1.31E00	1.15E-01	NaN	TGFBR2,PABPC1,SMAD3
Integrin Signaling	1.31E00	5.48E-02	-1.897	FYN,AKT2,ARHGAP26,ACTR3,WAS,RHOA,ZYX,CRK,VCL,NEDD9,VASP,ITGAX
Renin-Angiotensin Signaling	1.28E00	6.25E-02	-2.449	FOS,PRKACA,CCL5,STAT3,NFKB2,PTGER2,NFKB1,PRKCB
PXR/RXR Activation	1.25E00	7.69E-02	NaN	AKT2,FOXO3,PRKACA,RXRA,PAPSS2
Estrogen-Dependent Breast Cancer Signaling	1.25E00	6.98E-02	-2.449	FOS,AKT2,IGF1,CREBBP,NFKB2,NFKB1
Antioxidant Action of Vitamin C	1.24E00	6.48E-02	1.633	PLD4,PNPLA8,NFKBID,NFKB2,NFKB1,NFKBIB,SLC2A3
RhoGDI Signaling	1.24E00	5.65E-02	1.667	GNAI2,ACTR3,CFL1,EZR,RHOA,CREBBP,ARHGAP4,CDH23,CD44,ARHGEF1
Huntington's Disease Signaling	1.24E00	5.2E-02	-1.890	TP53,BCL2L1,AKT2,POLR2A,IGF1,SGK1,CREBBP,HSPA1A/HSPA1B,HDAC10,DNAJB1,UBC,UBE2S,PRKCB
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	1.24E00	8.7E-02	NaN	TP53,ETS2,RARA,JARID2
Thyroid Cancer Signaling	1.24E00	8.7E-02	NaN	TP53,CXCL8,CTNNB1,RXRA
IL-15 Production	1.23E00	1.07E-01	NaN	NFKB2,NFKB1,JAK3
EIF2 Signaling	1.22E00	5.29E-02	-2.236	PABPC1,AKT2,RPL18A,HNRNPA1,RPS9,PPP1R15A,PAIP1,EIF4A2,RPL23,RPS2,RPL28,RPS11
Signaling by Rho Family GTPases	1.21E00	5.16E-02	-2.714	GNAI2,FOS,ACTR3,CFL1,WAS,EZR,RHOA,CDH23,VIM,CDC42EP3,ARHGEF1,NFKB2,NFKB1
Germ Cell-Sertoli Cell Junction Signaling	1.21E00	5.59E-02	NaN	TGFBR2,EPN1,CFL1,RHOA,TUBA4A,ZYX,MAP3K8,MAP2K3,VCL,CTNNB1
Cell Cycle: G1/S Checkpoint Regulation	1.21E00	7.46E-02	-1.342	TP53,SMAD3,CDKN1A,CDK4,HDAC10
Role of IL-17A in Psoriasis	1.2E00	1.54E-01	NaN	CXCL8,S100A9
Fatty Acid Activation	1.2E00	1.54E-01	NaN	ACSL5,ACSL1
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	1.2E00	5E-01	NaN	UXS1
Guanine and Guanosine Salvage I	1.2E00	5E-01	NaN	PNP
Flavin Biosynthesis IV (Mammalian)	1.2E00	5E-01	NaN	RFK
γ-glutamyl Cycle	1.2E00	1.54E-01	NaN	GCLM,ANPEP
Sulfate Activation for Sulfonation	1.2E00	5E-01	NaN	PAPSS2
Adenine and Adenosine Salvage I	1.2E00	5E-01	NaN	PNP
Cardiolipin Biosynthesis II	1.2E00	5E-01	NaN	PGS1
Autoimmune Thyroid Disease Signaling	1.15E00	8.16E-02	NaN	HLA-G,HLA-C,IL10,HLA-DRB5
Hematopoiesis from Pluripotent Stem Cells	1.15E00	8.16E-02	NaN	CXCL8,IL1A,IL10,CSF1
IL-17 Signaling	1.15E00	6.59E-02	NaN	CXCL8,AKT2,TIMP1,MAP2K3,CEBPB,NFKB1
Endometrial Cancer Signaling	1.14E00	7.14E-02	0.000	TP53,AKT2,BAD,FOXO3,CTNNB1
Systemic Lupus Erythematosus Signaling	1.14E00	5.13E-02	NaN	HLA-G,FOS,IL1A,AKT2,IL1RN,HLA-C,IL10,CREM,TXNL4A,IL6R,IL1B,NFATC1
Assembly of RNA Polymerase II Complex	1.13E00	8E-02	NaN	POLR2A,GTF2F1,TAF10,TAF2
Caveolar-mediated Endocytosis Signaling	1.12E00	7.04E-02	NaN	FYN,CD55,FLNA,HLA-C,ITGAX
NF-κB Activation by Viruses	1.12E00	6.45E-02	-2.449	NFKBID,AKT2,NFKB2,NFKB1,NFKBIB,PRKCB
P2Y Purigenic Receptor Signaling Pathway	1.1E00	5.71E-02	-2.121	GNAI2,FOS,AKT2,CREBBP,PRKACA,NFKB2,NFKB1,PRKCB
Bladder Cancer Signaling	1.1E00	6.38E-02	NaN	TP53,CXCL8,THBS1,CDKN1A,CDK4,RASSF1
Human Embryonic Stem Cell Pluripotency	1.06E00	5.59E-02	NaN	S1PR4,TGFBR2,AKT2,PDGFA,SMAD3,SPHK1,GSK3A,CTNNB1
Glioma Signaling	1.05E00	5.83E-02	-2.000	TP53,AKT2,IGF1,PDGFA,CDKN1A,CDK4,PRKCB
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.05E00	5.56E-02	-1.414	SOCS3,PTPN7,IPMK,DUSP1,DOT1L,UBLCP1,DUSP2,NUDT1
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.05E00	5.56E-02	-1.414	SOCS3,PTPN7,IPMK,DUSP1,DOT1L,UBLCP1,DUSP2,NUDT1
Adenosine Nucleotides Degradation II	1.04E00	1.25E-01	NaN	ADA,PNP
Diphthamide Biosynthesis	1.03E00	3.33E-01	NaN	EEF2
Glutathione Biosynthesis	1.03E00	3.33E-01	NaN	GCLM
Tetrahydrobiopterin Biosynthesis I	1.03E00	3.33E-01	NaN	GCH1
1D-myo-inositol Hexakisphosphate Biosynthesis V (from Ins(1,3,4)P3)	1.03E00	3.33E-01	NaN	IPMK
Tetrahydrobiopterin Biosynthesis II	1.03E00	3.33E-01	NaN	GCH1
S-adenosyl-L-methionine Biosynthesis	1.03E00	3.33E-01	NaN	MAT2A
Phospholipase C Signaling	1.03E00	4.9E-02	-2.111	PLD4,FYN,MEF2D,RHOA,CREBBP,HDAC10,ARHGEF1,NFKB2,NFKB1,LCP2,NFATC1,PRKCB
Myc Mediated Apoptosis Signaling	1.02E00	6.58E-02	NaN	TP53,AKT2,IGF1,BAD,YWHAZ
Axonal Guidance Signaling	1.02E00	4.38E-02	NaN	FYN,AKT2,CFL1,PDGFA,TUBA4A,SEMA6B,CRK,NFATC1,GNAI2,SRGAP3,SDCBP,ACTR3,IGF1,WAS,RHOA,PRKACA,RASSF5,VASP,PTCH2,PRKCB
Cancer Drug Resistance By Drug Efflux	1.01E00	7.27E-02	NaN	TP53,AKT2,FOXO3,NFKB1
γ-linolenate Biosynthesis II (Animals)	9.96E-01	1.18E-01	NaN	ACSL5,ACSL1
Mitochondrial L-carnitine Shuttle Pathway	9.96E-01	1.18E-01	NaN	ACSL5,ACSL1
Role of MAPK Signaling in the Pathogenesis of Influenza	9.87E-01	6.41E-02	NaN	PNPLA8,AKT2,MAP2K3,CCL5,RABGEF1
Apelin Pancreas Signaling Pathway	9.67E-01	7.02E-02	2.000	ERN1,PRKACA,NFKB2,NFKB1
Apelin Muscle Signaling Pathway	9.55E-01	1.11E-01	NaN	AKT2,NRF1
FAK Signaling	9.24E-01	5.71E-02	NaN	FYN,AKT2,ARHGAP26,WAS,CRK,VCL
Notch Signaling	9.21E-01	7.89E-02	NaN	MAML1,NOTCH2,NOTCH1
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	9.17E-01	1.05E-01	NaN	IPMK,ITPKB
Purine Nucleotides Degradation II (Aerobic)	9.17E-01	1.05E-01	NaN	ADA,PNP
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	9.17E-01	1.05E-01	NaN	IPMK,ITPKB
DNA damage-induced 14-3-3σ Signaling	9.17E-01	1.05E-01	NaN	TP53,AKT2
Arsenate Detoxification I (Glutaredoxin)	9.14E-01	2.5E-01	NaN	PNP
Pentose Phosphate Pathway (Oxidative Branch)	9.14E-01	2.5E-01	NaN	G6PD
Spermine and Spermidine Degradation I	9.14E-01	2.5E-01	NaN	SMOX
Melatonin Degradation II	9.14E-01	2.5E-01	NaN	SMOX
Acetate Conversion to Acetyl-CoA	9.14E-01	2.5E-01	NaN	ACSL1
Actin Cytoskeleton Signaling	8.96E-01	4.72E-02	-2.121	ACTR3,CFL1,WAS,FLNA,PDGFA,EZR,RHOA,ARHGEF1,CRK,VCL,ARHGAP24
Growth Hormone Signaling	8.86E-01	5.95E-02	-1.000	FOS,SOCS3,IGF1,STAT3,PRKCB
Actin Nucleation by ARP-WASP Complex	8.7E-01	6.45E-02	-2.000	ACTR3,WAS,RHOA,VASP
Superpathway of Inositol Phosphate Compounds	8.7E-01	4.66E-02	-1.508	PLD4,FYN,SOCS3,PTPN7,IPMK,ITPKB,DUSP1,DOT1L,UBLCP1,DUSP2,NUDT1
VEGF Signaling	8.7E-01	5.5E-02	0.447	BCL2L1,AKT2,BAD,FOXO3,VCL,PRKCB
GP6 Signaling Pathway	8.63E-01	5.22E-02	-1.890	FYN,AKT2,LAMA2,GSK3A,LCP2,RASGRP2,PRKCB
Allograft Rejection Signaling	8.54E-01	5.81E-02	NaN	HLA-G,HLA-C,IL10,HLA-DQA2,HLA-DRB5
Wnt/Ca+ pathway	8.51E-01	6.35E-02	-2.000	CREBBP,NFKB2,NFKB1,NFATC1
Protein Ubiquitination Pathway	8.48E-01	4.53E-02	NaN	UBE2J1,USP32,HLA-C,USP36,HSPA1A/HSPA1B,UBR1,DNAJC14,DNAJB1,DNAJB6,UBE2S,DNAJA1,UBC
Endoplasmic Reticulum Stress Pathway	8.45E-01	9.52E-02	NaN	ERN1,XBP1
HIPPO signaling	8.39E-01	5.75E-02	-1.000	SAV1,SMAD3,YWHAZ,CD44,RASSF1
D-myo-inositol-5-phosphate Metabolism	8.33E-01	4.94E-02	-0.707	PLD4,SOCS3,PTPN7,DUSP1,DOT1L,UBLCP1,DUSP2,NUDT1
Mouse Embryonic Stem Cell Pluripotency	8.3E-01	5.36E-02	-1.633	TP53,AKT2,CREBBP,STAT3,CTNNB1,JAK3
Cardiac Hypertrophy Signaling	8.27E-01	4.56E-02	-1.897	TGFBR2,GNAI2,IGF1,MEF2D,RHOA,IL6R,CREBBP,PRKACA,MAP3K8,MAP2K3,ADRB2
tRNA Splicing	8.27E-01	7.14E-02	NaN	PDE4C,PDE4A,PDE4B
Renal Cell Carcinoma Signaling	8.24E-01	5.68E-02	NaN	FOS,AKT2,CREBBP,CRK,UBC
Trehalose Degradation II (Trehalase)	8.24E-01	2E-01	NaN	HK3
Creatine-phosphate Biosynthesis	8.24E-01	2E-01	NaN	MAP4K4
Polyamine Regulation in Colon Cancer	8.12E-01	9.09E-02	NaN	MXD1,CTNNB1
Apelin Cardiac Fibroblast Signaling Pathway	8.12E-01	9.09E-02	NaN	AKT2,SPHK1
Xenobiotic Metabolism Signaling	8.07E-01	4.38E-02	NaN	IL1A,SMOX,CHST7,CREBBP,IL1B,MAP3K8,MAP2K3,NFKB2,NFKB1,RXRA,NFE2L2,CYP1B1,PRKCB
Calcium-induced T Lymphocyte Apoptosis	7.99E-01	6.06E-02	-1.000	MEF2D,NR4A1,HLA-DRB5,PRKCB
UVB-Induced MAPK Signaling	7.99E-01	6.06E-02	-2.000	TP53,FOS,BAD,PRKCB
Cdc42 Signaling	7.83E-01	4.79E-02	-2.000	HLA-G,FOS,ACTR3,CFL1,WAS,HLA-C,HLA-DQA2,HLA-DRB5
FGF Signaling	7.83E-01	5.49E-02	-2.236	AKT2,CREBBP,MAP2K3,CRK,STAT3
Aldosterone Signaling in Epithelial Cells	7.72E-01	4.76E-02	NaN	SGK1,DUSP1,HSPA1A/HSPA1B,DNAJC14,DNAJB1,DNAJB6,DNAJA1,PRKCB
Glioblastoma Multiforme Signaling	7.72E-01	4.76E-02	-1.134	TP53,AKT2,IGF1,PDGFA,RHOA,CDKN1A,CDK4,CTNNB1
Reelin Signaling in Neurons	7.7E-01	5.43E-02	NaN	FYN,HCK,ARHGEF1,MAPK8IP3,FGR
Factors Promoting Cardiogenesis in Vertebrates	7.7E-01	5.43E-02	NaN	TGFBR2,CTNNB1,ACVR2A,LRP1,PRKCB
Telomerase Signaling	7.67E-01	5.13E-02	-1.000	TP53,ELF2,AKT2,ETS2,CDKN1A,HDAC10
FLT3 Signaling in Hematopoietic Progenitor Cells	7.54E-01	5.38E-02	-1.342	GAB2,AKT2,BAD,CREBBP,STAT3
Glycerol Degradation I	7.52E-01	1.67E-01	NaN	GK
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	7.52E-01	8.33E-02	NaN	IPMK,ITPKB
NAD Biosynthesis III	7.52E-01	1.67E-01	NaN	NAMPT
Triacylglycerol Biosynthesis	7.45E-01	6.52E-02	NaN	LPCAT1,CRLS1,GPAT3
IL-4 Signaling	7.42E-01	5.32E-02	NaN	AKT2,HMGA1,JAK3,HLA-DRB5,NFATC1
Role of NFAT in Cardiac Hypertrophy	7.38E-01	4.44E-02	-1.000	TGFBR2,GNAI2,AKT2,IGF1,MEF2D,PRKACA,HDAC10,MAP2K3,CACNB2,PRKCB
CCR5 Signaling in Macrophages	7.3E-01	5.26E-02	-2.000	GNAI2,FOS,CACNB2,CCL5,PRKCB
Thrombopoietin Signaling	7.21E-01	5.63E-02	-2.000	GAB2,FOS,STAT3,PRKCB
Melatonin Signaling	7.06E-01	5.56E-02	-2.000	GNAI2,PRKACA,MAP2K3,PRKCB
Rac Signaling	7.01E-01	4.88E-02	-2.449	ACTR3,CFL1,RHOA,CD44,NFKB2,NFKB1
Estrogen-mediated S-phase Entry	6.99E-01	7.69E-02	NaN	CDKN1A,CDK4
TR/RXR Activation	6.93E-01	5.1E-02	NaN	AKT2,LDLR,BCL3,RXRA,NCOA3
Glycoaminoglycan-protein Linkage Region Biosynthesis	6.93E-01	1.43E-01	NaN	XYLT1
Ephrin B Signaling	6.9E-01	5.48E-02	NaN	GNAI2,CFL1,RHOA,CTNNB1
Chondroitin Sulfate Biosynthesis (Late Stages)	6.88E-01	6.12E-02	NaN	CSGALNACT2,CHST7,CHSY1
UVC-Induced MAPK Signaling	6.88E-01	6.12E-02	NaN	TP53,FOS,PRKCB
Sphingosine-1-phosphate Signaling	6.8E-01	4.8E-02	-2.449	GNAI2,S1PR4,AKT2,PDGFA,RHOA,SPHK1
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	6.72E-01	6E-02	NaN	TP53,CDKN1A,YWHAZ
Clathrin-mediated Endocytosis Signaling	6.66E-01	4.35E-02	NaN	EPN1,ARRB2,LDLR,ACTR3,IGF1,PDGFA,RAB7A,UBC,CLU
ErbB2-ErbB3 Signaling	6.64E-01	5.33E-02	0.000	BAD,GSK3A,STAT3,JAK3
Sperm Motility	6.6E-01	4.72E-02	-2.449	PNPLA8,PDE4C,PDE4A,PRKACA,PDE4B,PRKCB
Glioma Invasiveness Signaling	6.5E-01	5.26E-02	-1.000	TIMP1,RHOA,CD44,PLAUR
Airway Pathology in Chronic Obstructive Pulmonary Disease	6.42E-01	1.25E-01	NaN	CXCL8
Inositol Pyrophosphates Biosynthesis	6.42E-01	1.25E-01	NaN	IPMK
Salvage Pathways of Pyrimidine Deoxyribonucleotides	6.42E-01	1.25E-01	NaN	APOBEC3A
Breast Cancer Regulation by Stathmin1	6.35E-01	4.27E-02	NaN	GNAI2,TP53,RHOA,CDKN1A,RB1CC1,TUBA4A,PRKACA,ARHGEF1,PRKCB
Semaphorin Signaling in Neurons	6.23E-01	5.66E-02	NaN	FYN,CFL1,RHOA
ErbB Signaling	6.23E-01	4.81E-02	-2.236	FOS,MAP2K3,EREG,AREG,PRKCB
3-phosphoinositide Degradation	6.2E-01	4.43E-02	-1.134	SOCS3,PTPN7,DUSP1,DOT1L,UBLCP1,DUSP2,NUDT1
SPINK1 General Cancer Pathway	6.13E-01	5.06E-02	-2.000	AKT2,IL6R,STAT3,JAK3
Phagosome Formation	6.11E-01	4.55E-02	NaN	FCAR,CR1,C5AR1,RHOA,ITGAX,PRKCB
Role of BRCA1 in DNA Damage Response	6E-01	5E-02	NaN	TP53,CDKN1A,SMARCE1,SMARCD3
Pathogenesis of Multiple Sclerosis	5.97E-01	1.11E-01	NaN	CCL5
Cyclins and Cell Cycle Regulation	5.88E-01	4.94E-02	NaN	TP53,CDKN1A,CDK4,HDAC10
Regulation of eIF4 and p70S6K Signaling	5.78E-01	4.29E-02	NaN	PABPC1,AKT2,PAIP1,RPS9,EIF4A2,RPS2,RPS11
BMP signaling pathway	5.77E-01	4.88E-02	-2.000	CREBBP,PRKACA,NFKB2,NFKB1
Fatty Acid β-oxidation I	5.65E-01	6.25E-02	NaN	ACSL5,ACSL1
SAPK/JNK Signaling	5.62E-01	4.55E-02	-1.000	TP53,CRK,MAPK8IP3,MAP4K4,NFATC1
Calcium Transport I	5.58E-01	1E-01	NaN	ATP2B1
GDP-glucose Biosynthesis	5.58E-01	1E-01	NaN	HK3
p70S6K Signaling	5.56E-01	4.35E-02	-1.342	GNAI2,AKT2,BAD,EEF2,YWHAZ,PRKCB
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	5.44E-01	4.46E-02	0.447	GNAI2,PRKACA,CACNB2,FFAR2,PRKCB
Leptin Signaling in Obesity	5.32E-01	4.65E-02	NaN	SOCS3,AKT2,PRKACA,STAT3
Cardiac β-adrenergic Signaling	5.32E-01	4.26E-02	-2.000	GRK2,PDE4C,AKAP8,PDE4A,PRKACA,PDE4B
Circadian Rhythm Signaling	5.3E-01	5.88E-02	NaN	BHLHE40,CREBBP
Role of JAK2 in Hormone-like Cytokine Signaling	5.3E-01	5.88E-02	NaN	SOCS3,STAT3
Ephrin A Signaling	5.24E-01	5E-02	NaN	FYN,CFL1,RHOA
Glucose and Glucose-1-phosphate Degradation	5.23E-01	9.09E-02	NaN	HK3
Pentose Phosphate Pathway	5.23E-01	9.09E-02	NaN	G6PD
UDP-N-acetyl-D-galactosamine Biosynthesis II	5.23E-01	9.09E-02	NaN	HK3
Macropinocytosis Signaling	5.21E-01	4.6E-02	NaN	CSF1,PDGFA,RHOA,PRKCB
Coagulation System	5.13E-01	5.71E-02	NaN	PLAUR,F3
Nucleotide Excision Repair Pathway	5.13E-01	5.71E-02	NaN	POLR2A,XPC
PCP pathway	5.11E-01	4.92E-02	NaN	RHOA,JUND,JUNB
Virus Entry via Endocytic Pathways	5.07E-01	4.31E-02	NaN	FYN,CD55,FLNA,HLA-C,PRKCB
3-phosphoinositide Biosynthesis	5.06E-01	3.98E-02	-1.414	SOCS3,FYN,PTPN7,DUSP1,DOT1L,UBLCP1,DUSP2,NUDT1
Retinoic acid Mediated Apoptosis Signaling	4.99E-01	4.84E-02	NaN	RARA,CFLAR,RXRA
B Cell Development	4.96E-01	5.56E-02	NaN	SPN,HLA-DRB5
Cleavage and Polyadenylation of Pre-mRNA	4.92E-01	8.33E-02	NaN	PABPN1
Hematopoiesis from Multipotent Stem Cells	4.92E-01	8.33E-02	NaN	CSF1
Guanosine Nucleotides Degradation III	4.92E-01	8.33E-02	NaN	PNP
Regulation of Actin-based Motility by Rho	4.91E-01	4.44E-02	NaN	ACTR3,CFL1,WAS,RHOA
Regulation of Cellular Mechanics by Calpain Protease	4.88E-01	4.76E-02	NaN	EZR,CDK4,VCL
G Beta Gamma Signaling	4.74E-01	4.17E-02	-1.342	GNAI2,AKT2,PRKACA,CACNB2,PRKCB
Neuroprotective Role of THOP1 in Alzheimer's Disease	4.74E-01	4.17E-02	NaN	HLA-G,HLA-C,PRKACA,ECE1,HTRA1
Ovarian Cancer Signaling	4.7E-01	4.03E-02	NaN	TP53,AKT2,CDK4,PRKACA,CD44,CTNNB1
Netrin Signaling	4.65E-01	4.62E-02	NaN	PRKACA,CACNB2,NFATC1
Choline Biosynthesis III	4.63E-01	7.69E-02	NaN	PLD4
Urate Biosynthesis/Inosine 5'-phosphate Degradation	4.63E-01	7.69E-02	NaN	PNP
Inhibition of Matrix Metalloproteases	4.51E-01	5.13E-02	NaN	TIMP1,LRP1
Phenylalanine Degradation IV (Mammalian, via Side Chain)	4.38E-01	7.14E-02	NaN	SMOX
Oncostatin M Signaling	4.37E-01	5E-02	NaN	STAT3,JAK3
Fc Epsilon RI Signaling	4.34E-01	4E-02	-2.236	FYN,AKT2,MAP2K3,LCP2,PRKCB
Gustation Pathway	4.34E-01	3.9E-02	NaN	PDE4C,P2RX1,PDE4A,PRKACA,CACNB2,PDE4B
EGF Signaling	4.33E-01	4.41E-02	NaN	FOS,AKT2,STAT3
ATM Signaling	4.19E-01	4.08E-02	NaN	TP53,GADD45G,CDKN1A,CREBBP
Telomere Extension by Telomerase	4.15E-01	6.67E-02	NaN	HNRNPA1
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	4.12E-01	3.91E-02	-1.342	TP53,AKT2,STAT3,CTNNB1,JAK3
