© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Prostate Cancer Signaling	1.09E00	1.36E-01	NaN	RAP2B,RAP2A,BAD,FGFR1,PIK3R1,SOS2,ABL1,MDM2,CCND1,PIK3R3,FOXO1,MRAS,PIK3R6,GSTP1
tRNA Splicing	1.09E00	1.67E-01	-2.646	PDE8A,TSEN15,GDE1,TRPT1,APEX1,PDE6B,PDE6D
Glioblastoma Multiforme Signaling	1.09E00	1.25E-01	-1.789	RAP2B,RAP2A,RHOC,PIK3R1,FGFR1,SOS2,RAC1,CDK6,MDM2,FZD1,TCF3,PDGFC,CCND1,PIK3R3,RHOB,RND3,FOXO1,PIK3R6,MRAS,PLCB3,WNT5A
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.09E00	1.23E-01	NaN	COL8A2,IGFBP4,FN1,MYL6,IL10,FGFR1,VEGFB,COL4A3BP,IFNGR1,MYL6B,MMP2,CCL5,PDGFC,IL1R2,CXCL3,LY96,CCL2,HGF,CD14,A2M,IL1RAP,MMP9,TIMP2
Th2 Pathway	1.07E00	1.27E-01	-1.897	HLA-DOA,IL10,BHLHE41,CD4,PIK3R1,FGFR1,MAF,PIK3R3,HLA-DQB2,JUN,CD80,HLA-DMA,HLA-DMB,PIK3R6,S1PR1,NFATC2,IL2RA,HLA-DQA2,HLA-DPB1
Estrogen-Dependent Breast Cancer Signaling	1.06E00	1.4E-01	-1.897	PIK3R3,RAP2B,RAP2A,JUN,CYP19A1,FGFR1,PIK3R1,PIK3R6,MRAS,CCND1,HSD17B4,HSD17B14
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	1.06E00	1.4E-01	NaN	RAP2B,CALM1 (includes others),RAP2A,JUN,CD80,CARD11,VAV3,SOS2,MRAS,RAC1,NFATC2,TOB1
Histamine Degradation	1.06E00	2.11E-01	-1.000	HNMT,ALDH3A2,ALDH9A1,ALDH7A1
Acyl-CoA Hydrolysis	1.06E00	2.5E-01	NaN	ACOT2,ACOT1,ACOT8
Rac Signaling	1.05E00	1.3E-01	-4.000	RAP2B,ITGB1,RAP2A,TIAM1,ARPC5L,FGFR1,PIK3R1,RAC1,IQGAP1,PIK3R3,JUN,CYFIP1,BAIAP2,MRAS,PIK3R6,PIP4K2C
Role of p14/p19ARF in Tumor Suppression	1.05E00	1.63E-01	2.449	PIK3R3,NPM3,PIK3R1,FGFR1,PIK3R6,RAC1,MDM2
Methylthiopropionate Biosynthesis	1.04E00	1E00	NaN	ADI1
Acetyl-CoA Biosynthesis III (from Citrate)	1.04E00	1E00	NaN	ACLY
UDP-N-acetyl-D-galactosamine Biosynthesis I	1.04E00	1E00	NaN	GALE
T Cell Receptor Signaling	1.02E00	1.3E-01	NaN	RAP2B,RAP2A,FGFR1,PIK3R1,CD4,SOS2,RAC1,PIK3R3,CALM1 (includes others),JUN,CARD11,VAV3,MRAS,PIK3R6,NFATC2
IL-6 Signaling	1.01E00	1.27E-01	-2.500	RAP2B,RAP2A,PIK3R1,FGFR1,SOS2,MAPK13,IL1R2,PIK3R3,IL18,JUN,CYP19A1,PIK3R6,MRAS,CD14,A2M,IL1RAP,HSPB1
IL-2 Signaling	1.01E00	1.43E-01	-2.333	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,IL2RA
Pyrimidine Ribonucleotides Interconversion	1E00	1.59E-01	-2.646	NUDT18,NUDT5,NME4,NME1,NME2,CANT1,NME6
Apelin Endothelial Signaling Pathway	1E00	1.28E-01	-3.500	RAP2B,RAP2A,FGFR1,PIK3R1,HIF1A,ARNT,PIK3R3,CALM1 (includes others),JUN,CCL2,PIK3R6,MRAS,PLCB3,MEF2C,PRKCH,GNAL
Leukocyte Extravasation Signaling	1E00	1.18E-01	-2.294	ITGB1,CD99,MYL6,FGFR1,MMP14,PIK3R1,WASL,RAC1,RDX,ITGA6,ABL1,MMP2,CLDN7,MAPK13,MAP3K4,PIK3R3,VAV3,FER,PIK3R6,ARHGAP35,ARHGAP12,PRKCH,MMP9,TIMP2,MMP19
Breast Cancer Regulation by Stathmin1	1E00	1.18E-01	NaN	RAP2B,PRKACB,RAP2A,CAMK1,ARHGEF12,TUBB4B,PIK3R1,FGFR1,GNG2,TUBB2A,SOS2,RAC1,TUBB,PPP1R14B,CDK1,PIK3R3,STMN1,CALM1 (includes others),PPP1R10,PIK3R6,MRAS,PLCB3,TUBA1C,PRKCH,GNG12
The Visual Cycle	9.96E-01	2E-01	0.000	DHRS3,RDH11,RDH10,RBP1
Interferon Signaling	9.91E-01	1.67E-01	-1.633	IFIT1,OAS1,MX1,IFNGR1,IFI6,ISG15
Semaphorin Signaling in Neurons	9.87E-01	1.51E-01	NaN	ITGB1,PLXNA1,ARHGEF12,RHOB,RND3,RHOC,RAC1,NRP1
FXR/RXR Activation	9.79E-01	1.27E-01	NaN	PPARA,PPARG,APOE,CYP27A1,SERPINF1,NR1H3,PCYOX1,A1BG,IL18,FOXO1,PCK2,SCARB1,CYP19A1,APOC1,PLTP,RBP4
IL-3 Signaling	9.75E-01	1.35E-01	-2.887	PIK3R3,RAP2B,RAP2A,JUN,FOXO1,BAD,FGFR1,PIK3R1,PIK3R6,MRAS,RAC1,PRKCH
Role of IL-17A in Psoriasis	9.71E-01	2.31E-01	NaN	CXCL3,CCL20,CXCL1
Oleate Biosynthesis II (Animals)	9.71E-01	2.31E-01	NaN	SCD,CYB5A,ALDH6A1
Glycogen Degradation II	9.71E-01	2.31E-01	NaN	PGM1,PYGL,MTAP
γ-glutamyl Cycle	9.71E-01	2.31E-01	NaN	GCLC,GGT1,GSS
Signaling by Rho Family GTPases	9.67E-01	1.15E-01	-3.530	MYL6,PIK3R1,WASL,MYL6B,SEPT11,IQGAP1,STMN1,JUN,RHOB,BAIAP2,MRAS,GNG12,ITGB1,SEPT8,ARHGEF12,RHOC,ARPC5L,FGFR1,GNG2,SEPT7,RAC1,RDX,PIK3R3,RND3,CYFIP1,SEPT10,PIK3R6,PIP4K2C,GNAL
Ceramide Signaling	9.55E-01	1.31E-01	-0.302	RAP2B,RAP2A,BAD,FGFR1,PIK3R1,SMPD1,PIK3R3,CTSD,JUN,SMPD4,MRAS,S1PR1,PIK3R6
Regulation of Actin-based Motility by Rho	9.51E-01	1.33E-01	-2.714	ITGB1,MYL6,RHOB,RND3,RHOC,ARPC5L,BAIAP2,WASL,RAC1,MYL6B,GSN,PIP4K2C
Dopamine Degradation	9.47E-01	1.62E-01	-0.816	ALDH3A2,COMT,SULT1A1,ALDH9A1,ALDH7A1,MAOA
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	9.43E-01	1.24E-01	-1.069	OAS1,IL10,PIK3R1,FGFR1,C1QC,C1QA,C1QB,CCL5,RNASEL,IFIH1,PIK3R3,IL18,TLR5,DDX58,TLR6,PIK3R6,PRKCH
Androgen Signaling	9.43E-01	1.24E-01	-1.890	POLR2I,PRKACB,POLR2F,GNG2,POLR2K,GTF2A1,CCND1,POLR2G,CALM1 (includes others),JUN,MRAS,GTF2H5,PRKCH,CACNA2D4,GNAL,GNG12,GTF2H3
Renin-Angiotensin Signaling	9.36E-01	1.25E-01	-2.000	RAP2B,PRKACB,RAP2A,FGFR1,PIK3R1,SOS2,RAC1,CCL5,MAPK13,PIK3R3,JUN,CCL2,MRAS,PIK3R6,PRKCH,ACE
Paxillin Signaling	9.24E-01	1.26E-01	-2.887	RAP2B,ITGB1,RAP2A,FGFR1,PIK3R1,SOS2,RAC1,ITGA6,MAPK13,PIK3R3,ITGAE,DOCK1,MRAS,PIK3R6,ITGB5
Pyrimidine Ribonucleotides De Novo Biosynthesis	9.24E-01	1.52E-01	-2.646	NUDT18,NUDT5,NME4,NME1,NME2,CANT1,NME6
Endocannabinoid Cancer Inhibition Pathway	9.24E-01	1.21E-01	0.688	PRKACB,DDIT3,BAD,PIK3R1,FGFR1,VEGFB,SMPD1,MMP2,HIF1A,TCF3,PDGFC,MLST8,CCND1,PIK3R3,SMPD4,CASP2,PIK3R6,NUPR1,GNAL
Cancer Drug Resistance By Drug Efflux	9.17E-01	1.45E-01	NaN	PIK3R3,RAP2B,RAP2A,FOXO1,PIK3R1,FOXO3,MRAS,MDM2
Pancreatic Adenocarcinoma Signaling	9.03E-01	1.25E-01	-1.387	PLD3,BAD,FGFR1,PIK3R1,RAC1,ABL1,VEGFB,MDM2,PDGFC,CCND1,PIK3R3,HMOX1,PIK3R6,BRCA2,MMP9
ILK Signaling	9.03E-01	1.17E-01	-2.132	ITGB1,FLNB,FN1,MYL6,RHOC,PIK3R1,FGFR1,VEGFB,MYL6B,HIF1A,PDGFC,CCND1,PPP1R14B,PIK3R3,PARVB,DOCK1,JUN,RHOB,RND3,PIK3R6,TMSB10/TMSB4X,ITGB5,MMP9
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	8.96E-01	2.86E-01	NaN	ABL1,QPRT
Isoleucine Degradation I	8.96E-01	2.14E-01	NaN	BCAT1,ECHS1,BCAT2
Phenylalanine Degradation IV (Mammalian, via Side Chain)	8.96E-01	2.14E-01	NaN	AASDH,ALDH3A2,MAOA
Colanic Acid Building Blocks Biosynthesis	8.96E-01	2.14E-01	NaN	TSTA3,GALE,GALT
Glycoaminoglycan-protein Linkage Region Biosynthesis	8.96E-01	2.86E-01	NaN	B4GALT7,XYLT2
UVA-Induced MAPK Signaling	8.93E-01	1.26E-01	-2.333	RAP2B,RAP2A,FGFR1,PIK3R1,SMPD1,MAPK13,PIK3R3,JUN,SMPD4,PARP15,PIK3R6,MRAS,PLCB3,RPS6KA2
Role of Tissue Factor in Cancer	8.89E-01	1.23E-01	NaN	RAP2B,ITGB1,RAP2A,FGFR1,EGR1,PIK3R1,RAC1,ITGA6,MAPK13,EIF4E,PIK3R3,MRAS,PIK3R6,CXCL1,RPS6KA2,ITGB5
Cell Cycle Control of Chromosomal Replication	8.83E-01	1.43E-01	NaN	MCM5,RPA3,PCNA,CDK11A,CDK6,RPA1,MCM4,CDK1
LPS-stimulated MAPK Signaling	8.73E-01	1.29E-01	-2.309	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,PIK3R6,MRAS,RAC1,CD14,PRKCH,MAPK13
NF-κB Activation by Viruses	8.73E-01	1.29E-01	-2.309	PIK3R3,ITGB1,RAP2B,RAP2A,FGFR1,CD4,PIK3R1,PIK3R6,MRAS,ITGA6,PRKCH,ITGB5
PEDF Signaling	8.73E-01	1.29E-01	-2.309	PIK3R3,RAP2B,PPARG,ARHGAP22,RAP2A,FGFR1,PIK3R1,PIK3R6,SERPINF1,MRAS,RAC1,MAPK13
tRNA Charging	8.63E-01	1.54E-01	-2.449	AARS2,DARS2,AARS,TARS,HARS2,EPRS
Inhibition of Matrix Metalloproteases	8.63E-01	1.54E-01	1.633	MMP14,MMP2,A2M,MMP9,MMP19,TIMP2
RAR Activation	8.57E-01	1.16E-01	NaN	PRKACB,DHRS3,RDH10,RDH11,PIK3R1,RAC1,SMARCE1,MAPK13,RBP1,PIK3R3,JUN,SMARCA2,GTF2H5,SORBS3,PRKCH,NRIP1,HLTF,SCAND1,CITED2,PNPLA4,GTF2H3,RBP4
Calcium-induced T Lymphocyte Apoptosis	8.54E-01	1.36E-01	-2.646	CALM1 (includes others),HLA-DOA,HLA-DMA,CD4,HLA-DMB,HDAC1,FCER1G,NFATC2,PRKCH
CD28 Signaling in T Helper Cells	8.51E-01	1.21E-01	-2.887	HLA-DOA,ARPC5L,CD4,FGFR1,PIK3R1,RAC1,PIK3R3,CALM1 (includes others),JUN,CD80,CARD11,HLA-DMA,HLA-DMB,FCER1G,PIK3R6,NFATC2
Bladder Cancer Signaling	8.48E-01	1.28E-01	-1.000	RAP2B,RAP2A,MMP14,ABL1,MRAS,VEGFB,MMP2,MDM2,CCND1,PDGFC,MMP9,MMP19
IL-4 Signaling	8.48E-01	1.28E-01	NaN	PIK3R3,RAP2B,RAP2A,HLA-DOA,HLA-DMA,FGFR1,PIK3R1,SOS2,HLA-DMB,PIK3R6,MRAS,NFATC2
iCOS-iCOSL Signaling in T Helper Cells	8.39E-01	1.22E-01	-2.673	HLA-DOA,BAD,CD4,FGFR1,PIK3R1,RAC1,PIK3R3,CALM1 (includes others),CD80,HLA-DMA,HLA-DMB,FCER1G,PIK3R6,NFATC2,IL2RA
Myc Mediated Apoptosis Signaling	8.3E-01	1.32E-01	NaN	PIK3R3,RAP2B,RAP2A,YWHAH,BAD,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS
Glycogen Degradation III	8.27E-01	2E-01	NaN	PGM1,PYGL,MTAP
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	8.24E-01	1.74E-01	NaN	CCL2,IL10,CXCL1,CCL5
Noradrenaline and Adrenaline Degradation	8.24E-01	1.5E-01	-0.816	ADH5,ALDH3A2,COMT,ALDH9A1,ALDH7A1,MAOA
Putrescine Degradation III	8.24E-01	1.74E-01	0.000	ALDH3A2,ALDH9A1,ALDH7A1,MAOA
PTEN Signaling	8.18E-01	1.21E-01	2.496	ITGB1,RAP2B,RAP2A,YWHAH,BAD,FGFR1,PIK3R1,SOS2,RAC1,TNFRSF11A,CCND1,PIK3R3,FOXO1,FOXO3,MRAS
Role of JAK1 and JAK3 in γc Cytokine Signaling	8.04E-01	1.3E-01	NaN	PIK3R3,IL7R,RAP2B,BLNK,RAP2A,FGFR1,PIK3R1,PIK3R6,MRAS,IL2RA
G Protein Signaling Mediated by Tubby	7.99E-01	1.56E-01	NaN	GNG2,ABL1,MRAS,PLCB3,GNG12
Sphingomyelin Metabolism	7.99E-01	2.5E-01	NaN	SMPD4,SMPD1
Fc Epsilon RI Signaling	7.96E-01	1.2E-01	-2.840	RAP2B,RAP2A,FGFR1,PIK3R1,SOS2,PLA2G4C,RAC1,MAPK13,PIK3R3,VAV3,FCER1G,PIK3R6,MRAS,PRKCH,PLA2G12A
Sphingosine-1-phosphate Signaling	7.96E-01	1.2E-01	-2.138	RHOC,FGFR1,PIK3R1,RAC1,SMPD1,PDGFC,ASAH1,PIK3R3,RND3,RHOB,SMPD4,CASP2,PIK3R6,S1PR1,PLCB3
Th1 Pathway	7.9E-01	1.19E-01	-2.887	PIK3R3,IL18,HLA-DOA,HLA-DQB2,CD80,HLA-DMA,IL10,PIK3R1,FGFR1,CD4,HLA-DMB,PIK3R6,NFATC2,IFNGR1,HLA-DQA2,HLA-DPB1
Th1 and Th2 Activation Pathway	7.77E-01	1.14E-01	NaN	HLA-DOA,IL10,BHLHE41,CD4,PIK3R1,FGFR1,MAF,IFNGR1,PIK3R3,IL18,HLA-DQB2,JUN,CD80,HLA-DMA,HLA-DMB,PIK3R6,S1PR1,NFATC2,IL2RA,HLA-DQA2,HLA-DPB1
CCR3 Signaling in Eosinophils	7.72E-01	1.18E-01	-2.496	PIK3R3,RAP2B,CALM1 (includes others),RAP2A,PIK3R1,FGFR1,PLA2G4C,GNG2,MRAS,PIK3R6,RAC1,PLCB3,PRKCH,MAPK13,GNG12,PLA2G12A
PI3K Signaling in B Lymphocytes	7.72E-01	1.18E-01	-3.207	CD81,RAP2B,BLNK,RAP2A,PIK3R1,ABL1,RAC1,ATF6,FCGR2B,CALM1 (includes others),JUN,VAV3,FOXO3,MRAS,PLCB3,NFATC2
Remodeling of Epithelial Adherens Junctions	7.7E-01	1.3E-01	-2.000	NME1,ARPC5L,TUBB4B,HGF,TUBB2A,TUBA1C,RAB5B,IQGAP1,TUBB
Insulin Receptor Signaling	7.7E-01	1.16E-01	-3.000	RAP2B,PRKACB,RAP2A,BAD,PIK3R1,FGFR1,SOS2,ACLY,PPP1R14B,EIF4E,EIF4EBP1,PIK3R3,PPP1R10,FOXO1,FOXO3,PIK3R6,MRAS
Vitamin-C Transport	7.64E-01	1.88E-01	NaN	SLC2A1,TXN,GSTO1
Acute Phase Response Signaling	7.62E-01	1.14E-01	-0.258	HAMP,RAP2B,RAP2A,FN1,PIK3R1,SOS2,SERPINF1,MAPK13,TCF3,RBP1,PIK3R3,HMOX1,FTL,IL18,JUN,MRAS,A2M,IL1RAP,C2,RBP4
mTOR Signaling	7.62E-01	1.12E-01	-3.441	RAP2B,RAP2A,PLD3,RHOC,PIK3R1,FGFR1,RAC1,VEGFB,HIF1A,MLST8,PDGFC,EIF4E,EIF4EBP1,PIK3R3,HMOX1,RHOB,RND3,EIF4A3,RPS27L,PIK3R6,MRAS,PRKCH,RPS6KA2
Asparagine Degradation I	7.62E-01	5E-01	NaN	ASRGL1
β-alanine Degradation I	7.62E-01	5E-01	NaN	ALDH6A1
S-methyl-5'-thioadenosine Degradation II	7.62E-01	5E-01	NaN	MTAP
Choline Degradation I	7.62E-01	5E-01	NaN	ALDH7A1
L-DOPA Degradation	7.62E-01	5E-01	NaN	COMT
Spermidine Biosynthesis I	7.62E-01	5E-01	NaN	SRM
Sulfate Activation for Sulfonation	7.62E-01	5E-01	NaN	PAPSS1
Glycine Degradation (Creatine Biosynthesis)	7.62E-01	5E-01	NaN	GATM
GDP-L-fucose Biosynthesis I (from GDP-D-mannose)	7.62E-01	5E-01	NaN	TSTA3
Cardiolipin Biosynthesis II	7.62E-01	5E-01	NaN	PTPMT1
Glycine Biosynthesis I	7.62E-01	5E-01	NaN	SHMT1
Endocannabinoid Developing Neuron Pathway	7.59E-01	1.18E-01	-2.138	PRKACB,RAP2B,RAP2A,FGFR1,PIK3R1,GNG2,RAC1,MAPK13,CCND1,MLST8,PIK3R3,MRAS,PIK3R6,MGLL,GNAL
Retinol Biosynthesis	7.54E-01	1.43E-01	0.000	DHRS3,RDH11,RDH10,RBP1,PNPLA4,ESD
SPINK1 General Cancer Pathway	7.54E-01	1.27E-01	-3.162	PIK3R3,RAP2B,RAP2A,FGFR1,MT1X,PIK3R1,PIK3R6,MRAS,MT1F,MT1E
Clathrin-mediated Endocytosis Signaling	7.47E-01	1.11E-01	NaN	ITGB1,APOE,UBB,EPS15,ARPC5L,EPHB2,PIK3R1,FGFR1,WASL,RAC1,VEGFB,MDM2,PCYOX1,RAB5B,PDGFC,PIK3R3,CLTA,PIK3R6,APOC1,DAB2,ITGB5,MYO1E,RBP4
Tryptophan Degradation X (Mammalian, via Tryptamine)	7.3E-01	1.6E-01	0.000	ALDH3A2,ALDH9A1,ALDH7A1,MAOA
Apelin Adipocyte Signaling Pathway	7.3E-01	1.25E-01	-1.265	PRKACB,GPX3,CLIC2,MGST2,GPX1,HIF1A,MAPK13,SOD1,GSTP1,MGST3
Docosahexaenoic Acid (DHA) Signaling	7.26E-01	1.35E-01	NaN	PIK3R3,FOXO1,BAD,PIK3R1,FGFR1,SERPINF1,PIK3R6
fMLP Signaling in Neutrophils	7.21E-01	1.16E-01	-3.742	RAP2B,RAP2A,ARPC5L,FGFR1,PIK3R1,GNG2,RAC1,PIK3R3,CALM1 (includes others),PIK3R6,MRAS,PLCB3,NFATC2,PRKCH,GNG12
Caveolar-mediated Endocytosis Signaling	7.19E-01	1.27E-01	NaN	ITGB1,ITGAE,FLNB,ITSN1,ABL1,ITGA6,RAB5B,COPB1,ITGB5
Thrombopoietin Signaling	7.19E-01	1.27E-01	-3.000	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,PIK3R6,MRAS,PRKCH
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	7.19E-01	1.06E-01	NaN	RAP2B,RAP2A,FN1,PIK3R1,IL32,CEBPD,VEGFB,FZD1,CCL5,PDGFC,CCND1,CEBPG,IL1R2,JUN,CCL2,CEBPA,MRAS,IL1RAP,IL10,FGFR1,DAAM1,RAC1,TCF3,PIK3R3,CALM1 (includes others),IL18,TLR5,TLR6,PIK3R6,NFATC2,PLCB3,PRKCH,WNT5A,RYK
Integrin Signaling	7.19E-01	1.1E-01	-2.837	RAP2B,ITGB1,RAP2A,ARPC5L,RHOC,PIK3R1,FGFR1,WASL,SOS2,RAC1,ABL1,ITGA6,GSN,PIK3R3,ITGAE,PARVB,DOCK1,TSPAN3,RHOB,RND3,PIK3R6,MRAS,TSPAN4,ITGB5
Sucrose Degradation V (Mammalian)	7.14E-01	2.22E-01	NaN	TPI1,GALM
Folate Transformations I	7.14E-01	2.22E-01	NaN	SHMT1,MTHFD1
Huntington's Disease Signaling	7.12E-01	1.08E-01	-1.941	ATP5MC1,POLR2F,REST,PIK3R1,SOS2,HSPA6,VTI1B,CTSD,JUN,HDAC7,GNG12,ATP5PF,POLR2I,UBB,FGFR1,GNG2,HDAC1,POLR2K,HSPA2,POLR2G,PIK3R3,CASP2,CLTA,PIK3R6,PLCB3,PSME4,PRKCH
RAN Signaling	7.1E-01	1.76E-01	NaN	RANBP2,RAN,RANBP1
γ-linolenate Biosynthesis II (Animals)	7.1E-01	1.76E-01	NaN	ACSL3,SLC27A1,CYB5A
Mitochondrial L-carnitine Shuttle Pathway	7.1E-01	1.76E-01	NaN	ACSL3,CPT2,SLC27A1
SAPK/JNK Signaling	7.1E-01	1.18E-01	-3.051	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,SOS2,GNG2,PIK3R6,MRAS,FCER1G,RAC1,MAP3K4
PI3K/AKT Signaling	7.03E-01	1.15E-01	-1.732	ITGB1,RAP2B,RAP2A,YWHAH,BAD,PIK3R1,SOS2,MDM2,CCND1,EIF4E,EIF4EBP1,PIK3R3,FOXO1,FOXO3,MRAS
IL-17 Signaling	7.01E-01	1.21E-01	NaN	PIK3R3,RAP2B,RAP2A,JUN,CCL2,FGFR1,PIK3R1,PIK3R6,MRAS,CXCL1,MAPK13
GDNF Family Ligand-Receptor Interactions	6.86E-01	1.22E-01	-3.162	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,RAC1
IL-17A Signaling in Fibroblasts	6.84E-01	1.43E-01	NaN	JUN,CCL2,CEBPD,MAPK13,CCL7
Gαq Signaling	6.84E-01	1.12E-01	-3.153	PLD3,RHOC,PIK3R1,FGFR1,GNG2,RGS16,PIK3R3,HMOX1,HRH1,CALM1 (includes others),RND3,RHOB,PIK3R6,MRAS,NFATC2,PLCB3,PRKCH,GNG12
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.8E-01	1.2E-01	-3.317	MYO5A,PIK3R3,HMOX1,DOCK1,PLD3,ARPC5L,FCGR2A,PIK3R1,VAV3,RAC1,PRKCH
Osteoarthritis Pathway	6.78E-01	1.08E-01	-0.218	ITGB1,PPARG,SPP1,EPAS1,FN1,FGFR1,RAC1,VEGFB,ACVRL1,HES1,HIF1A,FZD1,TCF3,PDGFC,IL1R2,HMGB1,CASP2,ANKH,FOXO3,MEF2C,IL1RAP,MMP9,RBP4
RANK Signaling in Osteoclasts	6.74E-01	1.18E-01	-1.508	PIK3R3,CALM1 (includes others),JUN,MITF,FGFR1,PIK3R1,PIK3R6,NFATC2,MAPK13,MAP3K4,GSN,TNFRSF11A
T Helper Cell Differentiation	6.72E-01	1.23E-01	NaN	IL18,HLA-DOA,CD80,HLA-DMA,IL10,HLA-DMB,FCER1G,IFNGR1,IL2RA
Mouse Embryonic Stem Cell Pluripotency	6.72E-01	1.16E-01	-3.051	PIK3R3,RAP2B,RAP2A,ID2,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,FZD1,MAPK13,TCF3,ID3
Ephrin B Signaling	6.72E-01	1.23E-01	-0.378	ITSN1,EPHB2,EFNB1,VAV3,GNG2,MRAS,RAC1,GNG12,GNAL
Heparan Sulfate Biosynthesis	6.64E-01	1.2E-01	-1.897	B4GALT7,XYLT2,EXT2,PPME1,SULT1A1,HS2ST1,HS3ST1,AARS,CHST13,PLA1A
Neurotrophin/TRK Signaling	6.64E-01	1.2E-01	-2.530	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,SPRY2,PIK3R1,SOS2,PIK3R6,MRAS
iNOS Signaling	6.6E-01	1.33E-01	-0.447	CALM1 (includes others),LY96,JUN,CD14,IFNGR1,MAPK13
Melanocyte Development and Pigmentation Signaling	6.56E-01	1.17E-01	-2.309	PIK3R3,RAP2B,PRKACB,RAP2A,MITF,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,POMC,RPS6KA2
B Cell Development	6.5E-01	1.39E-01	NaN	IL7R,HLA-DOA,CD80,HLA-DMA,HLA-DMB
ERK/MAPK Signaling	6.48E-01	1.08E-01	-1.789	RAP2B,ITGB1,PPARG,PRKACB,RAP2A,BAD,YWHAH,PIK3R1,FGFR1,PLA2G4C,SOS2,RAC1,PPP1R14B,EIF4E,EIF4EBP1,PIK3R3,DOCK1,PPP1R10,PIK3R6,MRAS,HSPB1,PLA2G12A
Ketogenesis	6.42E-01	2E-01	NaN	BDH2,HMGCL
Calcium Transport I	6.42E-01	2E-01	NaN	ATP2C1,ATP2B4
Mineralocorticoid Biosynthesis	6.42E-01	2E-01	NaN	EBP,HSD3B7
ErbB Signaling	6.36E-01	1.15E-01	-2.309	PIK3R3,RAP2B,RAP2A,JUN,FOXO1,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,PRKCH,MAPK13
Thyroid Cancer Signaling	6.29E-01	1.3E-01	NaN	RAP2B,PPARG,RAP2A,MRAS,TCF3,CCND1
AMPK Signaling	6.25E-01	1.06E-01	-0.728	PRKACB,ADRA2B,SLC2A1,RAB2A,PIK3R1,STRADA,FGFR1,SMARCE1,MAPK13,MLST8,CCND1,ELAVL1,EIF4EBP1,PIK3R3,PCK2,FOXO1,SMARCA2,FOXO3,PIK3R6,MRAS,CPT2,PPM1A,HLTF
FcγRIIB Signaling in B Lymphocytes	6.22E-01	1.18E-01	-2.828	PIK3R3,RAP2B,BLNK,RAP2A,FGFR1,PIK3R1,PIK3R6,MRAS,FCGR2B,CACNA2D4
CCR5 Signaling in Macrophages	6.2E-01	1.16E-01	-0.816	CALM1 (includes others),JUN,CD4,GNG2,MRAS,FCER1G,PRKCH,CCL5,MAPK13,CACNA2D4,GNG12
CDK5 Signaling	6.18E-01	1.14E-01	0.000	ITGB1,RAP2B,PRKACB,RAP2A,PPP1R10,EGR1,ABL1,MRAS,ITGA6,MAPK13,PPP1R14B,GNAL
FAK Signaling	6.18E-01	1.14E-01	NaN	PIK3R3,ITGB1,RAP2B,DOCK1,RAP2A,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,RAC1,TNS1
Methylglyoxal Degradation III	6.13E-01	1.58E-01	NaN	AKR7A2,FAM213B,AKR1B1
Superpathway of Cholesterol Biosynthesis	6.11E-01	1.43E-01	-2.000	EBP,PMVK,IDI1,MSMO1
IL-12 Signaling and Production in Macrophages	6.06E-01	1.1E-01	NaN	PPARG,APOE,IL10,FGFR1,PIK3R1,MAF,IFNGR1,MAPK13,PCYOX1,PIK3R3,IL18,JUN,APOC1,PIK3R6,PRKCH,RBP4
L-carnitine Biosynthesis	6.06E-01	3.33E-01	NaN	ALDH9A1
NADH Repair	6.06E-01	3.33E-01	NaN	NAXE
S-methyl-5-thio-α-D-ribose 1-phosphate Degradation	6.06E-01	3.33E-01	NaN	ADI1
L-cysteine Degradation III	6.06E-01	3.33E-01	NaN	MPST
D-glucuronate Degradation I	6.06E-01	3.33E-01	NaN	CRYL1
Thyroid Hormone Biosynthesis	6.06E-01	3.33E-01	NaN	CTSD
Tyrosine Biosynthesis IV	6.06E-01	3.33E-01	NaN	PCBD1
4-aminobutyrate Degradation I	6.06E-01	3.33E-01	NaN	SUCLG2
N-acetylglucosamine Degradation I	6.06E-01	3.33E-01	NaN	GNPDA1
