© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Endocannabinoid Cancer Inhibition Pathway	2.28E00	8.28E-02	-0.832	GNAI2,SRC,MAP2K7,RHOA,CDKN1A,CREBBP,CASP1,ATF4,MAP2K3,CASP4,GNA13,CASP5,ATF2
IL-3 Signaling	2.27E00	1.01E-01	-0.333	RAP1B,CSF2RB,STAT6,RAPGEF1,IL3RA,STAT3,JAK2,STAT1,PRKCB
Prolactin Signaling	2.27E00	1.01E-01	0.378	RAP1B,SOCS3,CREBBP,STAT3,JAK2,CEBPB,STAT1,IRF1,PRKCB
P2Y Purigenic Receptor Signaling Pathway	2.26E00	8.57E-02	-1.508	GNAI2,GNB1,RAP1B,RELA,PDIA3,CREBBP,GNB2,ATF4,NFKB2,NFKB1,ATF2,PRKCB
Regulation of the Epithelial-Mesenchymal Transition Pathway	2.25E00	7.69E-02	NaN	RAP1B,RELA,MAP2K7,TGFBR1,SMAD3,STAT3,NFKB2,JAK2,NFKB1,NOTCH2,RHOA,ZEB2,MAP2K3,JAK3,NOTCH1
4-1BB Signaling in T Lymphocytes	2.24E00	1.56E-01	-1.000	RELA,NFKB2,NFKB1,NFKBIB,ATF2
Gα12/13 Signaling	2.24E00	8.51E-02	-1.508	RAP1B,SRC,RELA,MAP2K7,CDC42,RHOA,CDH23,MEF2A,NFKB2,GNA13,NFKB1,NFKBIB
Colorectal Cancer Metastasis Signaling	2.22E00	7.09E-02	-1.387	RAP1B,RELA,SRC,TGFBR1,GRK2,SMAD3,IL6R,STAT3,NFKB2,JAK2,NFKB1,GNB1,RHOQ,RHOA,GNB2,JAK3,STAT1,LRP1
Hepatic Cholestasis	2.21E00	8.12E-02	NaN	RELA,SLC10A1,TJP2,MYD88,NFKB2,NFKB1,IL1RN,RARA,IL1B,TNFRSF1B,NFKBIB,PRKCB,IRAK2
Sphingosine-1-phosphate Signaling	2.2E00	8.8E-02	-2.111	GNAI2,S1PR4,S1PR2,RHOQ,PDIA3,RHOA,CASP1,SPHK1,CASP4,GNA13,CASP5
Germ Cell-Sertoli Cell Junction Signaling	2.19E00	7.82E-02	NaN	RAP1B,SRC,MAP2K7,TGFBR1,CFL1,ACTB,TUBA4A,LIMK2,RHOQ,CDC42,RHOA,MTMR2,MAP2K3,ACTG1
Integrin Signaling	2.15E00	7.31E-02	-3.000	RAP1B,RAPGEF1,SRC,ACTR2,ARPC1B,ACTB,TLN1,TTN,ITGAL,RHOQ,ACTR3,WAS,CDC42,RHOA,ACTG1,VASP
LPS-stimulated MAPK Signaling	2.15E00	9.68E-02	-1.000	RAP1B,RELA,CDC42,MAP2K3,NFKB2,NFKB1,NFKBIB,ATF2,PRKCB
Adrenomedullin signaling pathway	2.15E00	7.5E-02	-2.138	RAP1B,RELA,MAP2K7,KCNN4,PDIA3,CSK,MAPK6,NFKB2,CEBPB,NFKB1,TTN,GNA15,IL1RN,IL1B,MAP2K3
Chemokine Signaling	2.15E00	1.04E-01	0.707	GNAI2,RAP1B,SRC,CAMK2D,CFL1,RHOA,LIMK2,PRKCB
Gαs Signaling	2.14E00	9.09E-02	-1.000	GNB1,SRC,HCAR3,RAPGEF2,CREBBP,HCK,GNB2,ATF4,HCAR2,ATF2
Retinoic acid Mediated Apoptosis Signaling	2.13E00	1.13E-01	0.378	PARP10,RARA,ZC3HAV1,TNFSF10,CFLAR,IRF1,PARP14
Circadian Rhythm Signaling	2.12E00	1.47E-01	NaN	BHLHE40,CREBBP,ATF4,ATF2,GRINA
VDR/RXR Activation	2.11E00	1.03E-01	-1.134	CXCL10,SERPINB1,CDKN1A,MXD1,CEBPB,VDR,KLF4,PRKCB
Wnt/Ca+ pathway	2.09E00	1.11E-01	-1.890	RELA,PDIA3,CREBBP,ATF4,NFKB2,NFKB1,ATF2
TWEAK Signaling	2.07E00	1.43E-01	0.447	RELA,NFKB2,NFKB1,NFKBIB,BIRC3
Apoptosis Signaling	2.06E00	9.38E-02	0.333	RAP1B,RELA,MAP2K7,NFKB2,NFKB1,TNFRSF1B,NFKBIB,BIRC3,MCL1
Glucocorticoid Receptor Signaling	2.05E00	6.38E-02	NaN	RAP1B,RELA,MAP2K7,ICAM1,TGFBR1,SMAD3,ACTB,CREBBP,HSPA1A/HSPA1B,GTF2F1,JAK2,STAT3,TAF10,CEBPB,NFKB1,SMARCD3,IL1RN,CDKN1A,IL1B,JAK3,STAT1,NFKBIB
Phospholipase C Signaling	2.04E00	6.94E-02	-2.500	RAP1B,RELA,SRC,CREBBP,MEF2A,NFKB2,NFKB1,ATF2,GNB1,RHOQ,RHOA,GNB2,LYN,ATF4,GNA13,LCP2,PRKCB
Protein Ubiquitination Pathway	2.03E00	6.79E-02	NaN	PSMB9,PSMB10,HLA-A,UBE3B,HLA-B,CUL1,HSPA1A/HSPA1B,PSME2,PSMB8,DNAJA1,TAP1,PSME1,UBE2J1,HLA-C,DNAJC16,BIRC3,TAP2,UBE2D3
Tumoricidal Function of Hepatic Natural Killer Cells	1.97E00	1.67E-01	NaN	SERPINB9,ICAM1,SRGN,ITGAL
Thrombin Signaling	1.96E00	7.14E-02	-1.155	RAP1B,SRC,RELA,PDIA3,NFKB2,NFKB1,GNB1,GNAI2,CAMK2D,RHOQ,GNA15,RHOA,GNB2,GNA13,PRKCB
PPAR Signaling	1.92E00	8.91E-02	1.667	RAP1B,RELA,IL1RN,CREBBP,IL1B,NFKB2,NFKB1,TNFRSF1B,NFKBIB
IL-17A Signaling in Gastric Cells	1.91E00	1.6E-01	NaN	CXCL10,RELA,CXCL11,NFKB1
CD27 Signaling in Lymphocytes	1.9E00	1.13E-01	-1.342	RELA,MAP2K7,MAP2K3,NFKB2,NFKB1,NFKBIB
p70S6K Signaling	1.89E00	7.97E-02	-1.667	GNAI2,RPS6,RAP1B,SRC,IL2RG,YWHAE,PDIA3,EEF2,YWHAZ,LYN,PRKCB
Prostate Cancer Signaling	1.87E00	8.74E-02	NaN	RAP1B,RELA,CDKN1A,CREBBP,ATF4,NFKB2,NFKB1,NFKBIB,ATF2
April Mediated Signaling	1.87E00	1.28E-01	-0.447	RELA,MAP2K7,NFKB2,NFKB1,NFKBIB
Allograft Rejection Signaling	1.87E00	9.3E-02	NaN	CD40,HLA-C,HLA-A,HLA-B,HLA-DQB1,HLA-F,HLA-DRB5,HLA-E
Estrogen-Dependent Breast Cancer Signaling	1.87E00	9.3E-02	-1.414	RAP1B,SRC,RELA,CREBBP,ATF4,NFKB2,NFKB1,ATF2
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	1.87E00	9.3E-02	NaN	RAP1B,RELA,MAP2K7,TGFBR1,SMAD3,NFKB2,NFKBIB,NFKB1
Antiproliferative Role of TOB in T Cell Signaling	1.85E00	1.54E-01	NaN	PABPC1,TGFBR1,SMAD3,CUL1
HIPPO signaling	1.84E00	9.2E-02	-0.447	TJP2,YWHAE,SMAD3,CUL1,YWHAZ,CD44,SMAD5,RASSF1
Oncostatin M Signaling	1.83E00	1.25E-01	-0.447	RAP1B,STAT3,JAK2,STAT1,JAK3
Gαq Signaling	1.8E00	7.45E-02	-1.265	GNB1,RELA,RHOQ,GRK2,GNA15,CSK,RHOA,GNB2,NFKB2,NFKB1,NFKBIB,PRKCB
NGF Signaling	1.8E00	8.06E-02	-2.530	RAP1B,RELA,CDC42,RHOA,CREBBP,ATF4,TRIO,NFKB2,NFKB1,ATF2
B Cell Activating Factor Signaling	1.78E00	1.22E-01	-1.000	RELA,MAP2K7,NFKB2,NFKB1,NFKBIB
Mechanisms of Viral Exit from Host Cells	1.78E00	1.22E-01	NaN	ACTB,XPO1,LMNB1,ACTG1,PRKCB
Cardiac Hypertrophy Signaling	1.78E00	6.64E-02	-2.496	RAP1B,MAP2K7,TGFBR1,PDIA3,IL6R,CREBBP,MEF2A,ATF2,GNB1,GNAI2,RHOQ,GNA15,RHOA,GNB2,MAP2K3,GNA13
Apelin Endothelial Signaling Pathway	1.77E00	8E-02	-1.897	GNAI2,RAP1B,RELA,ICAM1,SMAD3,MEF2A,NFKB2,GNA13,NFKB1,PRKCB
Antioxidant Action of Vitamin C	1.75E00	8.33E-02	0.707	CSF2RB,RELA,PDIA3,RARRES3,NFKB2,JAK2,NFKB1,NFKBIB,SLC2A3
Agrin Interactions at Neuromuscular Junction	1.7E00	9.33E-02	-1.890	RAP1B,SRC,CDC42,ACTB,AGRN,ITGAL,ACTG1
Hypoxia Signaling in the Cardiovascular System	1.7E00	9.33E-02	-2.236	UBE2J1,CREBBP,ATF4,NFKBIB,LDHA,UBE2D3,ATF2
FLT3 Signaling in Hematopoietic Progenitor Cells	1.68E00	8.6E-02	-2.828	RAP1B,STAT6,CREBBP,ATF4,STAT2,STAT3,STAT1,ATF2
PEDF Signaling	1.68E00	8.6E-02	0.378	RAP1B,RELA,SOD2,RHOA,NFKB2,CFLAR,NFKB1,NFKBIB
Huntington's Disease Signaling	1.65E00	6.4E-02	1.667	MAP2K7,GLS,CREBBP,HSPA1A/HSPA1B,PSME2,CASP4,ATF2,GNB1,PSME1,GNA15,CASP1,GNB2,ATF4,NAPA,CASP5,PRKCB
γ-linolenate Biosynthesis II (Animals)	1.64E00	1.76E-01	NaN	SLC27A3,ACSL1,FADS1
IL-17A Signaling in Airway Cells	1.62E00	8.97E-02	0.378	RELA,NFKB2,STAT3,JAK2,NFKB1,JAK3,NFKBIB
PDGF Signaling	1.61E00	8.33E-02	0.000	RAP1B,SRC,SPHK1,JAK2,STAT3,JAK3,STAT1,PRKCB
Agranulocyte Adhesion and Diapedesis	1.58E00	6.74E-02	NaN	GNAI2,CXCL10,CXCL11,SELL,MYH9,ICAM1,IL1RN,CLDN1,ACTB,IL1B,CXCL9,ACTG1,MSN
Systemic Lupus Erythematosus Signaling	1.58E00	6.41E-02	NaN	PTPRC,RAP1B,CD40,HLA-C,IL1RN,HLA-A,PRPF3,HLA-B,IL6R,HNRNPA2B1,LYN,IL1B,PRPF38B,HLA-F,HLA-E
Ceramide Signaling	1.54E00	8.08E-02	-2.121	RAP1B,S1PR4,RELA,S1PR2,SPHK1,NFKB2,TNFRSF1B,NFKB1
Endothelin-1 Signaling	1.54E00	6.63E-02	-1.155	GNAI2,RAP1B,SRC,GNA15,PDIA3,CASP1,MAPK6,RARRES3,ECE1,CASP4,GNA13,CASP5,PRKCB
BMP signaling pathway	1.51E00	8.54E-02	-1.890	RAP1B,RELA,CREBBP,NFKB2,SMAD5,NFKB1,ATF2
Relaxin Signaling	1.5E00	6.96E-02	-0.816	GNAI2,GNB1,RAP1B,RELA,GNA15,GNB2,NFKB2,GNA13,PDE4B,NFKB1,NFKBIB
3-phosphoinositide Degradation	1.5E00	6.96E-02	-1.508	PTPRC,SOCS3,PTPN7,PTPN2,PDXP,DOT1L,PPFIBP2,PTPN1,MTM1,MTMR2,UBLCP1
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	1.49E00	2.5E-01	NaN	IDO1,IDO2
G Beta Gamma Signaling	1.49E00	7.5E-02	-0.707	GNAI2,GNB1,RAP1B,SRC,GNA15,CDC42,GNB2,GNA13,PRKCB
Neurotrophin/TRK Signaling	1.49E00	8.43E-02	-2.646	RAP1B,MAP2K7,CDC42,CREBBP,ATF4,MAP2K3,ATF2
Calcium-induced T Lymphocyte Apoptosis	1.47E00	9.09E-02	-1.633	HLA-A,HLA-B,NR4A1,HLA-DQB1,HLA-DRB5,PRKCB
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.45E00	1E-01	-0.447	YWHAE,CDKN1A,CUL1,YWHAZ,FBXL5
Lymphotoxin β Receptor Signaling	1.44E00	8.96E-02	NaN	RELA,RELB,CREBBP,NFKB2,LTBR,NFKB1
MIF-mediated Glucocorticoid Regulation	1.42E00	1.14E-01	-1.000	RELA,NFKB2,NFKB1,NFKBIB
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.4E00	6.94E-02	-1.897	PTPRC,SOCS3,PTPN7,PTPN2,PDXP,DOT1L,PPFIBP2,PTPN1,MTMR2,UBLCP1
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.4E00	6.94E-02	-1.897	PTPRC,SOCS3,PTPN7,PTPN2,PDXP,DOT1L,PPFIBP2,PTPN1,MTMR2,UBLCP1
Endoplasmic Reticulum Stress Pathway	1.4E00	1.43E-01	NaN	CALR,XBP1,ATF4
Macropinocytosis Signaling	1.39E00	8.05E-02	-0.447	RAP1B,SRC,ABI1,CDC42,RHOA,USP6NL,PRKCB
Role of IL-17A in Arthritis	1.39E00	8.7E-02	NaN	RELA,MAP2K3,NFKB2,NFKB1,NFKBIB,ATF2
Folate Transformations I	1.39E00	2.22E-01	NaN	MTHFD2,MTR
PKCθ Signaling in T Lymphocytes	1.39E00	6.67E-02	-2.111	RAP1B,RELA,CAMK2D,HLA-A,HLA-B,NFKB2,HLA-DQB1,NFKB1,NFKBIB,LCP2,HLA-DRB5
Synaptic Long Term Potentiation	1.37E00	7.14E-02	-1.000	RAP1B,CAMK2D,GNA15,PDIA3,CREBBP,ATF4,ATF2,GRINA,PRKCB
Polyamine Regulation in Colon Cancer	1.35E00	1.36E-01	NaN	PSME1,MXD1,PSME2
Renin-Angiotensin Signaling	1.34E00	7.03E-02	-0.378	RAP1B,RELA,NFKB2,STAT3,JAK2,NFKB1,STAT1,ATF2,PRKCB
VEGF Signaling	1.33E00	7.34E-02	-1.342	RAP1B,SRC,EIF1,YWHAE,ACTB,ACTG1,EIF1AY,PRKCB
Melatonin Signaling	1.31E00	8.33E-02	-1.633	GNAI2,MAP2K7,CAMK2D,PDIA3,MAP2K3,PRKCB
MSP-RON Signaling Pathway	1.31E00	8.33E-02	NaN	CSF2RB,IL3RA,ACTB,CCR2,JAK2,ACTG1
SAPK/JNK Signaling	1.31E00	7.27E-02	-2.828	GNB1,RAP1B,MINK1,MAP2K7,CDC42,GNA13,HNRNPK,ATF2
CXCR4 Signaling	1.29E00	6.43E-02	-1.667	GNAI2,GNB1,RAP1B,SRC,RHOQ,GNA15,RHOA,LYN,GNB2,GNA13,PRKCB
NF-κB Activation by Viruses	1.26E00	7.53E-02	-1.134	RAP1B,RELA,NFKB2,NFKB1,NFKBIB,ITGAL,PRKCB
AMPK Signaling	1.25E00	6.02E-02	-1.508	SRC,CAB39,PFKFB3,RAB27A,EEF2,ACTB,CDKN1A,CREBBP,RAB7A,ATF4,MAP2K3,SMARCD3,ATF2
IL-22 Signaling	1.25E00	1.25E-01	NaN	SOCS3,STAT3,STAT1
T Cell Receptor Signaling	1.21E00	6.96E-02	NaN	RAP1B,PTPRC,RELA,PTPN7,CSK,NFKB2,NFKB1,LCP2
Nur77 Signaling in T Lymphocytes	1.19E00	8.47E-02	NaN	HLA-A,HLA-B,NR4A1,HLA-DQB1,HLA-DRB5
Role of MAPK Signaling in the Pathogenesis of Influenza	1.18E00	7.69E-02	NaN	CXCL10,RAP1B,MAP2K7,RARRES3,MAP2K3,ATF2
3-phosphoinositide Biosynthesis	1.17E00	5.97E-02	-1.732	PTPRC,SRC,SOCS3,PTPN7,PTPN2,PDXP,DOT1L,PPFIBP2,PTPN1,PIK3AP1,MTMR2,UBLCP1
LPS/IL-1 Mediated Inhibition of RXR Function	1.17E00	5.83E-02	-0.447	CHST2,HS3ST3B1,MAP2K7,SLC10A1,MYD88,IL1RN,RARA,IL1B,XPO1,SLC27A3,TNFRSF1B,ALDH16A1,ACSL1
Lipid Antigen Presentation by CD1	1.16E00	1.15E-01	NaN	CALR,AP1G2,PDIA3
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.16E00	7.59E-02	-0.447	GNAI2,RELA,NFKB2,NFKB1,NFKBIB,PLAC8
Corticotropin Releasing Hormone Signaling	1.15E00	6.47E-02	-1.667	GNAI2,RAP1B,CREBBP,NR4A1,MEF2A,ATF4,JUND,ATF2,PRKCB
HGF Signaling	1.15E00	6.72E-02	-1.414	RAP1B,RAPGEF1,MAP2K7,CDC42,CDKN1A,STAT3,ATF2,PRKCB
Paxillin Signaling	1.15E00	6.72E-02	-1.134	RAP1B,SRC,CDC42,ACTB,CSK,TLN1,ACTG1,ITGAL
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.14E00	7.07E-02	NaN	AP1G2,HLA-A,HLA-C,AP1S2,HLA-B,JAK2,LCP2
MIF Regulation of Innate Immunity	1.14E00	9.3E-02	-1.000	RELA,NFKB2,NFKB1,NFKBIB
Role of NFAT in Cardiac Hypertrophy	1.14E00	5.78E-02	-1.155	GNAI2,GNB1,RAP1B,SRC,MAP2K7,CAMK2D,TGFBR1,PDIA3,GNB2,MEF2A,MAP2K3,SLC8A1,PRKCB
All-trans-decaprenyl Diphosphate Biosynthesis	1.14E00	5E-01	NaN	PDSS1
Glutamine Degradation I	1.14E00	5E-01	NaN	GLS
ERK/MAPK Signaling	1.13E00	5.88E-02	-1.508	RAP1B,SRC,RAPGEF1,DUSP6,CREBBP,YWHAZ,ATF4,TLN1,STAT3,STAT1,ATF2,PRKCB
D-myo-inositol-5-phosphate Metabolism	1.12E00	6.17E-02	-1.897	PTPRC,SOCS3,PTPN7,PTPN2,PDXP,DOT1L,PPFIBP2,PTPN1,MTMR2,UBLCP1
Calcium Signaling	1.11E00	5.83E-02	-2.333	RAP1B,CALR,CAMK2D,MYH9,ATP2B1,CREBBP,MEF2A,TPM3,ATF4,SLC8A1,ATF2,GRINA
Axonal Guidance Signaling	1.1E00	5.03E-02	NaN	RAP1B,ERAP2,ACTR2,CFL1,ARPC1B,PDIA3,TUBA4A,SEMA6B,LIMK2,GNAI2,GNB1,ACTR3,SDCBP,GNA15,CDC42,WAS,RHOA,ADAM19,GNB2,GNA13,RASSF5,VASP,PRKCB
Role of IL-17A in Psoriasis	1.1E00	1.54E-01	NaN	S100A9,S100A8
Fatty Acid Activation	1.1E00	1.54E-01	NaN	SLC27A3,ACSL1
RANK Signaling in Osteoclasts	1.09E00	6.86E-02	-0.816	SRC,RELA,MAP2K7,NFKB2,NFKBIB,NFKB1,BIRC3
Angiopoietin Signaling	1.06E00	7.14E-02	0.000	RAP1B,RELA,TNIP1,NFKB2,NFKB1,NFKBIB
Breast Cancer Regulation by Stathmin1	1.05E00	5.69E-02	NaN	GNAI2,GNB1,RAP1B,CAMK2D,CDC42,RHOA,CDKN1A,TUBA4A,GNB2,LIMK2,GNA13,PRKCB
FAK Signaling	1.04E00	6.67E-02	NaN	RAP1B,SRC,WAS,ACTB,CSK,TLN1,ACTG1
Phenylalanine Degradation IV (Mammalian, via Side Chain)	1.04E00	1.43E-01	NaN	SLC27A3,GOT2
Cell Cycle: G1/S Checkpoint Regulation	1E00	7.46E-02	NaN	RPL11,SMAD3,CDKN1A,CUL1,FBXL5
Telomere Extension by Telomerase	9.87E-01	1.33E-01	NaN	HNRNPA1,HNRNPA2B1
NAD biosynthesis II (from tryptophan)	9.87E-01	1.33E-01	NaN	IDO1,IDO2
CREB Signaling in Neurons	9.75E-01	5.5E-02	-1.414	GNAI2,GNB1,RAP1B,CAMK2D,GNA15,PDIA3,CREBBP,GNB2,ATF4,GNA13,ATF2,PRKCB
Diphthamide Biosynthesis	9.75E-01	3.33E-01	NaN	EEF2
Tetrahydrobiopterin Biosynthesis I	9.75E-01	3.33E-01	NaN	GCH1
L-cysteine Degradation III	9.75E-01	3.33E-01	NaN	GOT2
Methionine Salvage II (Mammalian)	9.75E-01	3.33E-01	NaN	MTR
Hypusine Biosynthesis	9.75E-01	3.33E-01	NaN	EIF5A
4-hydroxyproline Degradation I	9.75E-01	3.33E-01	NaN	GOT2
Tetrahydrobiopterin Biosynthesis II	9.75E-01	3.33E-01	NaN	GCH1
Glutamate Degradation II	9.75E-01	3.33E-01	NaN	GOT2
Aspartate Biosynthesis	9.75E-01	3.33E-01	NaN	GOT2
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	9.55E-01	9.38E-02	NaN	HLA-A,HLA-C,HLA-B
G Protein Signaling Mediated by Tubby	9.55E-01	9.38E-02	NaN	GNB1,GNB2,JAK2
Fatty Acid β-oxidation I	9.55E-01	9.38E-02	NaN	SLC27A3,ACADM,ACSL1
IGF-1 Signaling	9.43E-01	6.31E-02	0.000	RAP1B,SOCS3,YWHAE,YWHAZ,IGFBP7,JAK2,STAT3
Granzyme B Signaling	9.39E-01	1.25E-01	NaN	NUMA1,LMNB1
IL-7 Signaling Pathway	9.32E-01	6.59E-02	-1.342	IL2RG,LYN,BCL6,STAT1,JAK3,MCL1
Chronic Myeloid Leukemia Signaling	9.28E-01	6.25E-02	NaN	RAP1B,RELA,TGFBR1,SMAD3,CDKN1A,NFKB2,NFKB1
Thrombopoietin Signaling	9.24E-01	7.04E-02	-0.447	RAP1B,STAT3,JAK2,STAT1,PRKCB
Adipogenesis pathway	9.21E-01	5.97E-02	NaN	NR1D2,KDM1A,AGPAT2,SMAD3,XBP1,SMAD5,CEBPB,NOCT
Reelin Signaling in Neurons	9.14E-01	6.52E-02	NaN	SRC,MAP2K7,HCK,LYN,ITGAL,FGR
Neuregulin Signaling	8.96E-01	6.45E-02	-0.816	RPS6,RAP1B,SRC,EREG,AREG,PRKCB
α-Adrenergic Signaling	8.96E-01	6.45E-02	-1.000	GNAI2,GNB1,RAP1B,GNB2,SLC8A1,PRKCB
RAN Signaling	8.96E-01	1.18E-01	NaN	XPO1,KPNA1
Mitochondrial L-carnitine Shuttle Pathway	8.96E-01	1.18E-01	NaN	SLC27A3,ACSL1
CCR3 Signaling in Eosinophils	8.93E-01	5.88E-02	NaN	RAP1B,GNB1,GNAI2,CFL1,RHOA,GNB2,LIMK2,PRKCB
Semaphorin Signaling in Neurons	8.89E-01	7.55E-02	NaN	RHOQ,CFL1,RHOA,LIMK2
Heme Degradation	8.57E-01	2.5E-01	NaN	HMOX2
Glutathione Redox Reactions II	8.57E-01	2.5E-01	NaN	PDIA3
L-cysteine Degradation I	8.57E-01	2.5E-01	NaN	GOT2
Acetate Conversion to Acetyl-CoA	8.57E-01	2.5E-01	NaN	ACSL1
Salvage Pathways of Pyrimidine Ribonucleotides	8.36E-01	6.19E-02	0.816	APOBEC3B,PIM1,MAPK6,LIMK2,MAP2K3,APOBEC3A
Glioma Invasiveness Signaling	8.33E-01	6.58E-02	-1.342	RAP1B,RHOQ,TIMP1,RHOA,CD44
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	8.24E-01	5.15E-02	NaN	SRC,RELA,MAP2K7,IL1RN,IL1B,MAP2K3,SMAD5,NFKB1,TNFRSF1B,NFKBIB,BIRC3,LRP1
Aryl Hydrocarbon Receptor Signaling	8.18E-01	5.63E-02	0.378	SRC,RELA,RARA,CDKN1A,IL1B,NFKB2,ALDH16A1,NFKB1
Neuroprotective Role of THOP1 in Alzheimer's Disease	8.18E-01	5.83E-02	NaN	YWHAE,HLA-C,HLA-A,HLA-B,ECE1,HLA-F,HLA-E
Superpathway of Inositol Phosphate Compounds	7.96E-01	5.08E-02	-1.732	PTPRC,SRC,SOCS3,PTPN7,PTPN2,PDXP,DOT1L,PPFIBP2,PTPN1,PIK3AP1,MTMR2,UBLCP1
SPINK1 General Cancer Pathway	7.85E-01	6.33E-02	-0.447	RAP1B,IL6R,STAT3,JAK2,JAK3
2-ketoglutarate Dehydrogenase Complex	7.7E-01	2E-01	NaN	OGDH
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	7.7E-01	2E-01	NaN	MTHFD2
tRNA Charging	7.67E-01	7.69E-02	NaN	WARS,CARS2,KARS
PTEN Signaling	7.67E-01	5.65E-02	1.134	RAP1B,RELA,TGFBR1,CDC42,CDKN1A,NFKB2,NFKB1
Antiproliferative Role of Somatostatin Receptor 2	7.54E-01	6.17E-02	0.000	GNB1,RAP1B,SRC,CDKN1A,GNB2
Melanocyte Development and Pigmentation Signaling	7.52E-01	5.83E-02	-1.342	RAP1B,SRC,CREBBP,SH2B2,ATF4,ATF2
ErbB Signaling	7.38E-01	5.77E-02	-1.633	RAP1B,CDC42,MAP2K3,EREG,AREG,PRKCB
PCP pathway	7.33E-01	6.56E-02	-1.000	RHOA,JUND,JUNB,ATF2
Growth Hormone Signaling	7.1E-01	5.95E-02	0.447	SOCS3,STAT3,JAK2,STAT1,PRKCB
Pyruvate Fermentation to Lactate	6.97E-01	1.67E-01	NaN	LDHA
Glycerol Degradation I	6.97E-01	1.67E-01	NaN	GK
Zymosterol Biosynthesis	6.97E-01	1.67E-01	NaN	CYP51A1
NAD Biosynthesis III	6.97E-01	1.67E-01	NaN	NAMPT
Gap Junction Signaling	6.88E-01	4.98E-02	NaN	GNAI2,RAP1B,SRC,TJP2,SP3,PDIA3,ACTB,TUBA4A,ACTG1,PRKCB
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	6.86E-01	8.7E-02	NaN	IL1B,DEFB1
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	6.8E-01	6.98E-02	NaN	CXCL10,IL1RN,IL1B
Pyridoxal 5'-phosphate Salvage Pathway	6.68E-01	6.15E-02	0.000	PIM1,MAPK6,LIMK2,MAP2K3
Stearate Biosynthesis I (Animals)	6.62E-01	6.82E-02	NaN	SLC27A3,ACSL1,MBOAT7
CDP-diacylglycerol Biosynthesis I	6.6E-01	8.33E-02	NaN	AGPAT2,MBOAT7
TCA Cycle II (Eukaryotic)	6.6E-01	8.33E-02	NaN	SDHC,OGDH
UVA-Induced MAPK Signaling	6.52E-01	5.41E-02	NaN	RAP1B,PDIA3,PARP10,ZC3HAV1,STAT1,PARP14
Mouse Embryonic Stem Cell Pluripotency	6.4E-01	5.36E-02	-0.816	RAP1B,CREBBP,STAT3,JAK2,SMAD5,JAK3
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	6.4E-01	5.36E-02	1.633	GNAI2,GNA15,PDIA3,GPBAR1,FFAR2,PRKCB
Ceramide Biosynthesis	6.38E-01	1.43E-01	NaN	SPTSSA
Adenine and Adenosine Salvage III	6.38E-01	1.43E-01	NaN	ADA2
Aspartate Degradation II	6.38E-01	1.43E-01	NaN	GOT2
Tryptophan Degradation III (Eukaryotic)	6.33E-01	8E-02	NaN	IDO1,IDO2
14-3-3-mediated Signaling	6.23E-01	5.11E-02	-1.342	RAP1B,SRC,YWHAE,PDIA3,TUBA4A,YWHAZ,PRKCB
Dermatan Sulfate Biosynthesis (Late Stages)	6.23E-01	6.52E-02	NaN	CHST2,HS3ST3B1,DSE
EGF Signaling	6.22E-01	5.88E-02	-1.000	SRC,MAP2K7,STAT3,STAT1
FGF Signaling	6.16E-01	5.49E-02	-2.236	CREBBP,ATF4,MAP2K3,STAT3,ATF2
Neuropathic Pain Signaling In Dorsal Horn Neurons	6.07E-01	5.22E-02	0.816	SRC,KCNN4,CAMK2D,PDIA3,GRINA,PRKCB
CNTF Signaling	6.07E-01	5.8E-02	-1.000	RAP1B,JAK2,STAT3,STAT1
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	6.07E-01	7.69E-02	NaN	AGPAT2,MBOAT7
Factors Promoting Cardiogenesis in Vertebrates	6.04E-01	5.43E-02	NaN	TGFBR1,SMAD5,LRP1,ATF2,PRKCB
Dopamine-DARPP32 Feedback in cAMP Signaling	5.93E-01	4.88E-02	-1.134	GNAI2,KCNJ2,PDIA3,CREBBP,ATF4,PRKCB,GRINA,ATF2
Histidine Degradation III	5.88E-01	1.25E-01	NaN	MTHFD2
Superoxide Radicals Degradation	5.88E-01	1.25E-01	NaN	SOD2
Purine Ribonucleosides Degradation to Ribose-1-phosphate	5.88E-01	1.25E-01	NaN	ADA2
