lung_t_cell_0	lung_t_cell_1	lung_t_cell_2	lung_t_cell_3	lung_t_cell_4	lung_t_cell_5	lung_t_cell_6
SAR1A	0	0	0.355709897543492	0	0	0	0
PIK3R1	0	0	0.586732126642048	0	0	0	0
CD55	0	0	0.321702290610249	0	0	0	0
FMNL1	0	0	0.421531880454943	0	0.30922691552706	0	0
MAPK1	0	0	0.779878004850279	0	0	0	0
MBP	0	0	0.508111989056502	0	0	0	0
CD164	0	0	0.507450570434226	0	0.516344175084567	0	0
ERBB2IP	0	0	0.382091813435308	0.582719357265006	0	0	0
CRBN	0	0	0.826391390375185	0	0	0	0
GPR65	0	0	0.459538486377857	0	0	0	0.770007640530289
TAPBP	0	0	0.31379790848825	0	0	0	0.437686366334506
MYLIP	0	0	0.405163156822947	0	0	0	0
RBM39	0	0	0.363739388337546	0	0	0	0
ATM	0	0	0.620210569464156	0	0	0	0
SYNE2	0	0	0.515035542122942	0	0	0	0
STK10	0	0	0.356985194976292	0	0	0	0
NFATC2	0	0	0.355201601205702	0	0.252609115614987	0	0
PPP1CA	0	0	0.321795200377439	0	0	0.862064380983424	0
XBP1	0	0	0.334944419506854	0	0	0	0
FBXW2	0	0	0.774567170546621	0	0	0	0
PPIB	0	0	0.322282483973085	0	0	0.261161636963299	0
CNOT2	0	0	0.444551338784509	0	0	0	0.332127609981244
ATP6V0B	0	0	0.381632532265391	0	0	0.309758904220115	0
CTBP1	0	0	0.45380986499904	0	0.693584326440172	0	0
CSNK1D	0	0	0.562766603654015	0	0.356072946464883	0	0
BID	0	0	0.60219375169491	0	0	0	0
GTPBP1	0	0	0.383903538937224	0	0	0	0
CNOT6L	0	0	0.27031653234118	0	0	0	0
WASF2	0	0	0.265999285471637	0	0	0	0
ARHGAP9	0	0	0.463504980752975	0	0	0	0
CMC1	0	0	0.815285826240173	0	0	0	1.12823303585884
PLEKHA2	0	0	0.411253561032408	0	0	0	0.303842520046575
PRMT2	0	0	0.453992886624394	0	0.294473534283881	0	0
ZBTB44	0	0	0.442872808872536	0	0	0	0
PTPN18	0	0	0.98104139583458	0	0	0	0.624064922542867
ATP1B3	0	0	0.265268981697844	0	0.46517651689833	0	0
CD47	0	0	0.394701389659957	0	0	0	0
TMBIM1	0	0	0.659658504877219	0	0	0	0
APOL6	0	0	0.476298170266298	0	0	0	0
ISY1	0	0	0.723672938714342	0	0	0	0
DSTN	0	0	0.503388212056958	0	0	0.259118134976842	0
RAC2	0	0	0.280993433179679	0	0	0.438900773323369	0
KCNAB2	0	0	0.469262476101026	0	0	0	0
CYP51A1	0	0	0.597901251575013	0	0	0	0
UAP1	0	0	0.428868540993297	0	0	0	0
NARF	0	0	0.564058256465796	0	0	0	0
INPP5D	0	0	0.603571044922296	0	0	0	0
LBH	0	0	0.321479832807351	0	0.293920504142144	0	0
CAPNS1	0	0	0.884386960897706	0	0	0	0
OSTF1	0	0	0.623435354767001	0	0	0	0
CCNT1	0	0	0.698645399645971	0	0	0	0
NIPBL	0	0	0.355264356625311	0	0	0	0
TXNIP	0	0	0.568614220330138	0	0	0	0
ITCH	0	0	0.335406489608645	0.295411873084367	0	0	0
HGSNAT	0	0	0.673963363858542	0	0.486456976789434	0	0
RNF168	0	0	0.618760512369417	0	0	0	0
IL21R	0	0	0.769609004032343	0.658959522497038	0.590243266263889	0	0
RNF126	0	0	0.3669524224843	0	0	0.716525635683755	0
RAB8A	0	0	0.299337137975282	0	0	0.342061254279121	0.837133239809254
DIAPH1	0	0	0.317623994152182	0	0	0	0
DBI	0	0	0.475586299615959	0	0	0.637901785967423	0
PDIA3P1	0	0	0.303238683179154	0	0	0	0
ARL6IP1	0	0	0.265940607334314	0	0	0.257494369783531	0
TLN1	0	0	0.314012501213528	0	0	0	0
HLA-F	0	0	0.284405199894805	0	0	0	0
PIGT	0	0	0.570022389833291	0	0	0	0
SFT2D1	0	0	0.293712782472059	0	0	0	0
NPC1	0	0	0.375309014365602	0.551423928545918	0	0	0
GNG5	0	0	0.409132670933196	0	0	0.78787689648934	0
ITGA4	0	0	0.4994375097774	0	0	0	0
CDK2AP2	0	0	0.318314482636871	0	0	0.434700002335276	0.469962549625039
PRKCH	0	0	0.325350451261364	0	0	0	0
TSEN54	0	0	0.300846710726383	0	0	0	0
SNRNP27	0	0	0.737498929042992	0	0	0.443603803201619	0
TRPC4AP	0	0	0.341765857016504	0.552851336926402	0	0	0
FOXP3	0	0	0	2.99106362228445	0	0.323487412556375	0
CCR8	0	0	0	3.00650974159222	0	0	0
IL1R2	0	0	0	3.81141048606791	0	0	0
IL2RA	0	0	0	3.07336134853863	0	1.21403109620727	0
LAYN	0	0	0	2.43075671967489	0	0	0
LOC101929450	0	0	0	4.06084529818325	0	0	0
TBC1D4	0	0	0	2.08596028934153	0	0	0
RTKN2	0	0	0	2.78874630323515	0	0	0
TNFRSF9	0	0	0	2.14864358844371	0	0	0
TNFRSF18	0	0	0	2.0131679352386	0.88682094781699	0	0.787120681545472
ICA1	0	0	0	1.99309117321825	0	0	0
TNFRSF4	0	0	0	2.22315720641375	0.892742142168298	0.306145992373319	0
F5	0	0	0	2.51281260817637	0	0	0
FANK1	0	0	0	3.14125012963666	0	0	0
IL1R1	0	0	0	2.55903910611741	0	0	0
BATF	0	0	0	1.80894796499082	0.438625742816089	0.429008329977677	0
MAGEH1	0	0	0	2.61698314544911	0	0	0
IKZF2	0	0	0	2.37685195478813	0	0	0
TIGIT	0	0	0	1.48039460870991	0	0	0
CTLA4	0	0	0	1.67344537403392	1.1844240232398	0.837421846839088	0
CLEC7A	0	0	0	3.25771942309285	0	0	0
CARD16	0	0	0	1.64727737141518	0	0	0
GK	0	0	0	1.5263865766658	1.19346654087965	0	0
IKZF4	0	0	0	2.37739469332214	0	0	0
PMAIP1	0	0	0	1.71910147719931	0	0	0
STAM	0	0	0	1.57342751965684	0	0	1.0627608324038
ICOS	0	0	0	1.40767909433671	0.858527341468674	0	0
ZC2HC1A	0	0	0	2.58698955980405	0	0	0
VDR	0	0	0	1.76111118921151	1.33212548232545	1.0587877852145	0
ZC3H12D	0	0	0	1.09718628359877	0	0	0
MAST4	0	0	0	1.48611379595996	0	0	0
MIR4435-2HG	0	0	0	1.30043065466713	0	0.860911115162518	0
CADM1	0	0	0	2.46942802599122	0	0	0
ENTPD1	0	0	0	1.71166086954212	0.813584319476214	0.510535700861699	0
LAPTM4B	0	0	0	1.96946833186265	0	0.3338200376942	0
ARID5B	0	0	0	1.01179591529138	0.539558004073385	0	0
TIAM1	0	0	0	1.59885629903924	0.29658254020629	0	1.07596930520411
SIRPG	0	0	0	1.11518566509106	0.343935378091133	0.555141319896144	0
IL32	0	0	0	0.719826340702094	0	0	0
NAMPT	0	0	0	1.23566709948425	0	0	0
PRDM1	0	0	0	1.2320866264381	0	0	0
CXCR6	0	0	0	0.829468581375326	0.864169886702052	0	0
PIM2	0	0	0	1.13711569729572	0	0	0
TOX2	0	0	0	1.5188707049575	1.1973972180774	1.12318600465624	0
TRAF3	0	0	0	1.19073007778401	0.76631457923656	0	0
HS3ST3B1	0	0	0	1.5908546730387	0	0	0
SELL	0	0	0	1.10932596782762	0	0	0.889876749570677
GEM	0	0	0	1.47329396558867	0	0.562311867644442	0
EPSTI1	0	0	0	1.27504079456526	0	0.570767334497812	0
UGP2	0	0	0	1.13243506236158	0	0	0
GLCCI1	0	0	0	1.18277872102708	0	0	0
RGS1	0	0	0	1.07707978042724	0	0	0
FAS	0	0	0	1.13782124965689	0	0	0
RHBDD2	0	0	0	1.0581671215464	0.259049170844642	0	0
PHACTR2	0	0	0	1.00890183553792	0.615032369021371	0	0
SNX9	0	0	0	0.94869716695474	1.334077341487	0	0
TULP4	0	0	0	1.41095163130276	0	0	0
CASP1	0	0	0	1.04326011100127	0	0	0
PELI1	0	0	0	1.13140521743699	0	0	0
SLC35F2	0	0	0	0.928416609198788	0.321114241177952	0.776765408136723	0
SPATS2L	0	0	0	1.33652817511445	0.319353179283365	0	0
SAT1	0	0	0	0.951461059133449	0	0	0
LINC00152	0	0	0	0.898655080030861	0.385118774648559	0.595006446580356	0
TMEM140	0	0	0	1.00873403172036	0	0	0
NCF4	0	0	0	1.10933851023563	0	0.486826510404804	0
CACYBP	0	0	0	0.718054003708055	0	0	0
CUL9	0	0	0	1.6882437948913	0	0	0
ARHGEF12	0	0	0	1.40515719262652	0	0	0
TMEM154	0	0	0	0.829440600813365	0	0.527793345318813	0
CORO1B	0	0	0	0.937733589864268	0.714705764156334	0.82457175534094	0
PHLDA1	0	0	0	1.03710429948183	0	0	0
GCNT1	0	0	0	1.59340843575513	0	0	0.762543818809393
SDC4	0	0	0	1.38583336271992	0	0.445883508205057	0
NAB1	0	0	0	0.993124539349251	0.430398985197717	0.871590194630522	0
ACP5	0	0	0	1.37364582553792	0	0	0
CD28	0	0	0	0.963205861949842	0.5356886592323	0.250189793307628	0
GLRX	0	0	0	0.856071905398419	0	0	0
DNPH1	0	0	0	1.09259502554454	0	0.775564148889751	0
CREB3L2	0	0	0	1.20388100241086	0	0	0
FRMD4B	0	0	0	0.948022829124789	0	0	0
DUSP16	0	0	0	0.888680329430005	0	0	0
GBP5	0	0	0	1.03633172457006	0	0	0
VAV3	0	0	0	1.11101001214454	0	0	0
POU2F2	0	0	0	0.906523654155588	0	0	0
GADD45A	0	0	0	1.13555167187568	0	0	0
IL6ST	0	0	0	0.445017706028845	1.15597177210319	0	0
FOXO1	0	0	0	0.729527949830266	0.679739121715	0	0
PHTF2	0	0	0	1.25004160021809	0.739227368856808	0	0
PTPRJ	0	0	0	0.625823169686068	0.262461738639941	0	0
UCP2	0	0	0	0.794450812281061	0.271685356916157	0.663156188161328	0
CCNG2	0	0	0	1.16237482827399	0	0	0
USP15	0	0	0	0.807284466334834	0	0	0
ATP13A3	0	0	0	1.27857492996525	0	0	0
TANK	0	0	0	0.698260264993637	1.25042098646773	0	0
ETV7	0	0	0	1.87464801343412	1.10702451814754	1.11951845015764	0
STAT3	0	0	0	0.716891757459297	0.603631254371829	0	0
TLK1	0	0	0	0.846647130507015	0	0	0
IL18R1	0	0	0	0.922524341919539	0	0	0
HSPB1	0	0	0	0.800698897464591	0	0	0
CLIP1	0	0	0	0.736818346506131	0.641390143995191	0	0
CPEB4	0	0	0	0.864831025496624	0	0	0
HAPLN3	0	0	0	1.47410844741339	0	0.585308543098907	0
TP53INP1	0	0	0	1.02038605301428	0.899877837187856	0	0
TYMP	0	0	0	0.982973250587865	0.812215045238754	0.758851010276557	0
ZNF292	0	0	0	0.652632157958743	0	0	0
ACOT9	0	0	0	0.930241833418731	0	0	0
HTATIP2	0	0	0	1.37174941818052	0	0.39669378885394	0
SPOCK2	0	0	0	0.665981595312357	0.57378235599417	0	0
P2RY10	0	0	0	0.981971478327742	0	0	0
MBOAT1	0	0	0	0.549040670063587	0	0	0
HSPA1A	0	0	0	0.596303289511297	0	0	0
ZC3H7A	0	0	0	1.03438295374554	0	0	0
TAB2	0	0	0	0.902606925016768	0	0	0
IL12RB2	0	0	0	1.46141762897348	0.606971185905922	0	0.911570645280759
SOD1	0	0	0	0.62184584732495	0	0	0
CEP120	0	0	0	1.12906573727392	0.674322466746109	0	0
OAS1	0	0	0	1.36039210426996	0	0.288702197761168	0
SKAP1	0	0	0	0.596564685453618	0	0	0
RHOH	0	0	0	0.537711503381147	0.287119853540671	0	0
HNRNPLL	0	0	0	0.673527826709803	0.506218126320308	0.26809228416536	0
UBC	0	0	0	0.434080324004697	0.321360181812093	0	0
ZMYND8	0	0	0	0.389087065339121	0	0	0
IPCEF1	0	0	0	1.0035146770103	0	0	0
IGFLR1	0	0	0	0.599742266462707	0	0	0
ZDBF2	0	0	0	0.591471078433607	0.564336888097236	0	0
DNAJB4	0	0	0	1.13153712065057	0	0	0
CNST	0	0	0	0.980424533393901	0	0	0
LMBRD1	0	0	0	1.14407996197281	0	0	0
CYTIP	0	0	0	0.571095859105	0	0	0
THADA	0	0	0	1.83522605850726	0	0	0
SLAMF1	0	0	0	0.96222573553911	0	0	0
LGALS9	0	0	0	0.828923616180006	0.944764753891942	0.739739350394806	0
CFLAR	0	0	0	0.623168446242643	0.537239913641137	0	0
FBLN7	0	0	0	0.909305827905097	0	0	0
PKM	0	0	0	0.555927575637614	0.541083647235133	1.10635057728818	0
PCED1B	0	0	0	0.853292440680543	0	0	0
CHST11	0	0	0	0.749503564934259	0	0	0
ACTA2	0	0	0	1.12517272782379	0	0.323688533589829	0
NCOA3	0	0	0	0.878877322857165	0	0	0
NDUFV2	0	0	0	0.621651185785821	0	0.660852488574101	0
DGKE	0	0	0	1.38589682797906	0	0	0
DUSP10	0	0	0	0.817369302984243	0	0	0
CD82	0	0	0	0.634094870707274	0.626729127429143	0.388452975409482	0
GRSF1	0	0	0	0.838842407504399	0.279722359991978	0.304875354685858	0
NEDD9	0	0	0	0.960573191559444	0	0	0
ERI1	0	0	0	1.58003690775154	0	0.660943915196307	0
UGCG	0	0	0	0.636857364108674	0	0	0
RAB9A	0	0	0	0.769539892423802	0.274445194643694	0	0
GBP2	0	0	0	0.684677921350004	0	0	0
LIMS1	0	0	0	0.979290744560842	0.745991631537379	0	0
SLC16A1	0	0	0	1.1390512638602	0	0	0
CCDC117	0	0	0	0.913697586802464	0	0	0
NABP1	0	0	0	0.625235871228793	0	0	0
TPP1	0	0	0	0.704984513114773	0	0	0
C17orf62	0	0	0	0.679699837362306	0.467810917308402	0	0
MX1	0	0	0	0.804593998721912	0	0.354810485259841	0
ADAM10	0	0	0	0.37936907420301	0.289595985650063	0	0
STK17B	0	0	0	0.604068613145667	0	0	0
GABPB1	0	0	0	1.0515052076915	0	0.426569353833631	0
BTG3	0	0	0	0.658037448578723	0	0	0
CASK	0	0	0	0.886202380378971	0	0	1.25151698876264
CDKN1B	0	0	0	0.398151224721	0	0	0
HOXB2	0	0	0	0.998475999636882	0	0	0
RAB11FIP1	0	0	0	1.00137665488681	0.68319162825128	0	0
CNIH1	0	0	0	0.927023262520156	0	0	0
TRAF1	0	0	0	0.987083212204555	0	0	0
C4orf48	0	0	0	0.821617839412608	0	0.263065764581912	0
LAX1	0	0	0	1.16803890216714	0	0	0
VMP1	0	0	0	0.557476992277287	0	0	0
HSPA4	0	0	0	0.617375918158904	0	0	0
CRADD	0	0	0	1.03565098546271	1.45490420970332	0.430909935173315	0
CD59	0	0	0	0.867994981078428	0	0	0
MAP3K5	0	0	0	0.898296916418982	0.587565086876651	0	0
TRIB2	0	0	0	0.931271823587438	0	0	0
HSPA1B	0	0	0	0.693032209239634	0	0	0
RYBP	0	0	0	0.810767414095546	0.83116907410025	0	0
ZNRF1	0	0	0	0.566603935470706	1.16546848081126	0.501342582964257	0
IL6R	0	0	0	1.0051680934351	0	0	0
FNDC3B	0	0	0	1.103383923502	0	0	0
SLC5A3	0	0	0	0.767302600333224	0	0	0
TSPAN5	0	0	0	0.400798273033161	0.426532465199853	0.257339809294264	0
NFKBIZ	0	0	0	0.673762585897182	0.891668550417302	0	0
NDFIP2	0	0	0	0.950195329541703	0	0.63323973759876	0
AFTPH	0	0	0	0.703919082417701	0	0	0
FBXO18	0	0	0	0.948022384706383	0	0	0
RPS27L	0	0	0	0.46579322642221	0	0.558523631691461	0
METTL8	0	0	0	0.616061780465087	0	0	0
HERC5	0	0	0	0.747409077027321	0	0	0
LINC01578	0	0	0	0.52576411796166	0	0	0
IFNAR2	0	0	0	0.813255901447494	0	0	0
DAPP1	0	0	0	1.5548220118299	0	1.0593604621913	0
DDHD1	0	0	0	1.10964723563081	0.371798497190278	0	0
CHMP2A	0	0	0	0.527145680403533	0	0.401566174371697	0
SAMSN1	0	0	0	0.533547670062648	0.313230762916974	0	0
GALM	0	0	0	0.502105289537874	0.623274798447955	0.7672028791265	0
BACH1	0	0	0	0.532787479712675	0	0	0
FKBP4	0	0	0	0.42090330803317	0	0	0
PIM3	0	0	0	0.656163541376229	0.605014830774534	0.309713652016523	0
ZCCHC6	0	0	0	0.492503143783143	0	0	0
SGMS1	0	0	0	0.877292097574215	0	0	0
OTUD5	0	0	0	0.52970355955487	0.405346567405286	0	0
MALT1	0	0	0	0.462267095786802	0	0	0
TET2	0	0	0	0.906863068601956	0	0	0
MARCH3	0	0	0	0.87329543555114	0.966386624979498	0	0
PRDM2	0	0	0	0.404365473494092	0	0	0
SYT11	0	0	0	0.673584604291107	0.26574605980533	0	0
SLC12A6	0	0	0	1.13665609680476	0	0	0
FAM110A	0	0	0	0.751582215383117	0	0	0
UNC119	0	0	0	0.68445992567864	0	0	0
CMTM6	0	0	0	0.771456692526336	0	0	0
CD7	0	0	0	0.441406899784945	0	0	1.15071929533973
ZNRF2	0	0	0	0.78660749025171	0	0	0
IRF9	0	0	0	0.489999416649479	0	0	0
CAST	0	0	0	0.503395101207052	0	0	0
TMEM173	0	0	0	0.551807226317281	1.26815423498405	0	0
ANKRD10	0	0	0	0.681258024263824	0.394988114309852	0	0
NOP58	0	0	0	0.411485974593104	0	0	0
STX11	0	0	0	0.714436427436374	0	0.28498414222595	0
MSL3	0	0	0	0.43230082000908	0	0	0
TNIK	0	0	0	0.535155493740604	0.425866742253862	0	0
ABI1	0	0	0	0.512772627990308	0	0	0
GPX1	0	0	0	0.520071798466848	0	0	0
HLA-A	0	0	0	0.295254394266948	0	0	0
BCL3	0	0	0	0.517121502136688	0.677981730400385	0	0
BCL2	0	0	0	0.564125506726808	0	0	0
IRS2	0	0	0	0.839421849735253	0.994160945270646	0	0
ACSL4	0	0	0	1.5206266047316	0	0.728836363269159	0
PARK7	0	0	0	0.746763954968816	0	0.710701991034566	0
RASGRP1	0	0	0	0.295837090248418	0	0	0
SOX4	0	0	0	2.05000493659673	0	0	1.39291394083427
NINJ1	0	0	0	0.484048578361176	0.352495465715261	0.385574864772381	0
CD58	0	0	0	0.49691022293999	0	0	0
DNAJA2	0	0	0	0.568487666876878	0	0	0
TCAF2	0	0	0	0.531975764390382	0	0	0
SSH1	0	0	0	0.687670542243675	0	0	0
REEP3	0	0	0	0.715296729502477	0.583358084540584	0	0
ZBTB38	0	0	0	0.339022429931703	0	0	0
VCPIP1	0	0	0	0.554658099611672	0	0	0
CD27-AS1	0	0	0	0.273172953974224	0	0	0
NCOA1	0	0	0	0.544070991845223	0	0	0
RDX	0	0	0	0.966622936495713	0	0.537215430357387	0
UBE2B	0	0	0	0.38666752433581	0	0	0
CIRBP	0	0	0	0.362134067079211	0	0	0
SYNGR2	0	0	0	0.696559423802749	0	0	0
BST2	0	0	0	0.512296284436823	0	0.371661812397252	0.762046406788158
MBOAT7	0	0	0	0.684423395254533	0	0	0
GPR155	0	0	0	0.336268369098662	0	0	0
RHOC	0	0	0	0.648001572968461	0	0	0.441098097917994
TOX	0	0	0	0.764155953793293	0.818670949142811	0	0
NAPG	0	0	0	0.629562749913029	0	0	0
LYST	0	0	0	0.465717692025527	0	0	0
CCT4	0	0	0	0.435854714711721	0	0	0
FAM107B	0	0	0	0.503123214750716	0.358405769544013	0	0
LCK	0	0	0	0.336580628367321	0	0	0
ETV6	0	0	0	0.679438601957849	0.414576764578493	0	0
GBP4	0	0	0	0.763053293549703	0	0.688228311758545	0.685472532115045
HIBCH	0	0	0	0.399448952561305	0	0.615223636518227	0
LRRC8C	0	0	0	0.354158363259319	0.568451903322514	0	0
MRPL18	0	0	0	0.323159205349095	0	0	0
MRPS6	0	0	0	0.275722558623224	0	0	0.363879610868663
EVI2A	0	0	0	0.531703732945793	0	0	0
GATA3	0	0	0	0.961293235583702	0	0	0.404840238561586
RHOG	0	0	0	0.360370426460041	0.323199848194307	0.260404784092434	0
USP12	0	0	0	0.773427727132995	0	0.663803757963256	0
YIPF6	0	0	0	0.852526744025817	0	0	0
HOOK3	0	0	0	0.607621030603979	0	0	0
PAK2	0	0	0	0.420692729961455	0.292047256876054	0	0
CMTM7	0	0	0	0.303943231325755	0	0	0
CCM2	0	0	0	0.812539725250564	0	0	0
HPRT1	0	0	0	0.47358641452366	0	0.744857808184835	0
CLEC2D	0	0	0	0.471045479191543	0	0	0
SMC4	0	0	0	0.404788082765887	0.28591542554298	1.36433199507369	1.29953343661534
DDX1	0	0	0	0.947663743138921	0	0	0
HIVEP3	0	0	0	0.611640327276778	0	0	0
MORC3	0	0	0	0.540595830140063	0.278400517909319	0	0
RAB8B	0	0	0	0.396802308276622	0	0	0
DYNC1I2	0	0	0	1.21807024235749	0	0	0
PMVK	0	0	0	0.591489452909213	0	0.6278514544803	0
FYCO1	0	0	0	0.822394990206259	0	0	0
TMBIM4	0	0	0	0.314789906295345	0	0	0
MAP3K1	0	0	0	0.436722846759511	1.00096324235208	0	0
JAK3	0	0	0	0.303976321058324	0	0	0
TRIM59	0	0	0	0.956368516291375	0	0.557240003912591	0
DNAJA4	0	0	0	0.53403473366639	0	0	0
DFNB31	0	0	0	0.593777189723706	0	0	0
PIK3IP1	0	0	0	0.518355954935632	0.383147747151781	0	0
N4BP2L1	0	0	0	0.687474875567025	0	0	0
PTTG1	0	0	0	0.555086368689768	0	1.52612644520079	0
RNF114	0	0	0	0.527193980276666	0	0	0
SP4	0	0	0	0.631168215269216	0	0	0
STIP1	0	0	0	0.42374221763929	0	0.30162608112573	0
FKBP1A	0	0	0	0.502907624046512	0.733336859101064	0.944464111737036	0
C9orf16	0	0	0	0.384399067075466	0	0	0
NF2	0	0	0	0.689593814887295	0	0	0
SH3BGRL	0	0	0	0.340711821572407	0	0	0
UBR5	0	0	0	0.637981281732833	0.387659437935251	0	0
KAT2B	0	0	0	0.871410258361408	0	0	0
NGRN	0	0	0	0.416564324083624	0.284000234129822	0	0
PPM1G	0	0	0	0.640684418010005	0	0.729966759095352	0
HLA-DMA	0	0	0	0.568195948141685	0.529443736978211	0.553326201358348	0
EPC1	0	0	0	0.303643289188154	0	0	0
AKIRIN2	0	0	0	0.425137955416	0.346144493139671	0	0
SEC14L1	0	0	0	0.769304034885039	0.465100550641102	0	0.501444021255578
TFRC	0	0	0	0.597276723258347	0	0	0
ANXA7	0	0	0	0.352521792518101	0.500776913292551	0.284541541885199	0
DCP2	0	0	0	0.508564864317093	0.263973365103022	0	0
MDFIC	0	0	0	0.568918141841591	0	0	0
ATP5A1	0	0	0	0.373820459040268	0	0.806379377179455	0
EED	0	0	0	0.527537951424754	0.752704329517493	0.720580679808153	0
STAT2	0	0	0	0.386366348178582	0	0	0
NFAT5	0	0	0	0.591853782774204	0	0	0
NT5C3A	0	0	0	0.836129474531716	0	0	0
NCK2	0	0	0	0.31388710676164	0.406186738587773	0	0
CYB5B	0	0	0	0.430749106584455	0	0.584724076371227	0
IFI6	0	0	0	0.661278687712858	0	0.347534412245168	0
NFYC	0	0	0	0.839311588173739	0.780624841871765	0.847061487640316	0
HSD17B10	0	0	0	0.602655900669697	0	0.90782711740988	0
CHORDC1	0	0	0	0.310292422343402	0	0	0
CD320	0	0	0	0.945017389569427	0	0.630302944993368	0
YIPF4	0	0	0	0.676187081076444	0	0	0.271605213950995
CSGALNACT2	0	0	0	0.711036478225397	0	0	0
PARP12	0	0	0	0.477865676922837	0	0	0
IL12RB1	0	0	0	0.844459363764121	0	0	0
LIMD2	0	0	0	0.409161709652802	0	0	0
TNRC6A	0	0	0	0.321988818020762	0	0	0
SQSTM1	0	0	0	0.343833561967286	0.25463982407052	0	0
TNIP1	0	0	0	0.287254523448023	0	0	0
BRE	0	0	0	0.666266667043347	0	0	0
CDR2	0	0	0	0.425356551218074	0	0	0
FCMR	0	0	0	0.320926374295522	0	0	0
RAB10	0	0	0	0.425554201885587	0	0.263028706046649	0
MED13	0	0	0	0.565210123139027	0	0	0
PTPRA	0	0	0	0.339710325745882	0	0	0
ST13	0	0	0	0.307565600765471	0	0	0
RFTN1	0	0	0	0.602694451521193	0.396259536982231	0	0
CD2	0	0	0	0.295433288318435	0.313039137818199	0	0
RNF145	0	0	0	0.404562395848269	0	0	0
SH3KBP1	0	0	0	0.253345420231101	0	0	0
PARP9	0	0	0	0.511231101611247	0	0.404197519055895	0
SGTB	0	0	0	0.841144346967789	0	0	0
COMMD4	0	0	0	0.488752419738065	0	0.868470140589586	0
PIN1	0	0	0	0.415532301299004	0.445592340287856	0.736736356245491	0.644022341265192
DGKA	0	0	0	0.664785458464971	0.926794138537891	0	0
SOCS3	0	0	0	0.5700845165784	0.755960936034956	0	0
PEPD	0	0	0	0.630686261712207	0	0	0
SH3GLB1	0	0	0	0.399307173464924	0	0	0
NSUN6	0	0	0	0.487585489389272	0	0	0
NME3	0	0	0	0.592827703612373	0	0	0
LAMP2	0	0	0	0.802501147792743	0	0	0
PPP1R2	0	0	0	0.418514730363825	0	0	0
MIIP	0	0	0	0.511934510225001	0	0.4478930077653	0
SERPINB9	0	0	0	0.339144226584776	0	0	0
ZEB1	0	0	0	0.497496064241477	0	0.409041868765195	0
ZFAND5	0	0	0	0.38043711051475	0.499034251022544	0	0
AHR	0	0	0	0.4439483352937	0.359497819545787	0	0
PTGES3	0	0	0	0.364814851187506	0	0	0
AHSA1	0	0	0	0.373116217538459	0	0	0
PDHB	0	0	0	0.700344851566499	0.391548555356225	0.841915409127397	0
UBE2K	0	0	0	0.589058973924024	0.39579291253483	0.308277666478793	0
AK2	0	0	0	0.452845234087848	0	0.915559163018238	0
KDM5B	0	0	0	0.680593044395361	0	0	0
CISD2	0	0	0	0.67189589942965	0	0.654799256791663	0
ATOX1	0	0	0	0.517107451473066	0	0.458330324096608	0
APOBEC3C	0	0	0	0.281494064874126	0	0.784474234761417	0
NUDT4	0	0	0	0.422213463496804	0.277217435264017	0	0
VMA21	0	0	0	0.811858954957641	0	0	0
PPP1R12A	0	0	0	0.268117712326626	0	0	0.340799513498796
HADHB	0	0	0	0.285553959155734	0	0	0
LAPTM4A	0	0	0	0.641371612115661	0	0	0
FGD3	0	0	0	0.44321502376345	0	0	0
UBQLN1	0	0	0	0.352605475889358	0	0	0
ZBTB20	0	0	0	0.873191642761339	0	0	0
ATG3	0	0	0	0.422963553827123	0	0.413368716672363	0
PGM2L1	0	0	0	0.971808171112733	0	0.268828418284651	0
PAPOLA	0	0	0	0.263222425992319	0	0	0
CDV3	0	0	0	0.361060141557871	0.642876686202092	0	0
GLB1	0	0	0	0.412845131282908	0.669161076874819	0	0
WHSC1L1	0	0	0	0.395123897075521	0	0	0
RELB	0	0	0	0.449783138138638	0.776472259506248	0	0
MRPL33	0	0	0	0.272133311741849	0	0.286800264796952	0
UQCRB	0	0	0	0.257467058666353	0	0	0
UHRF2	0	0	0	0.358039283312068	0	0	0
SETD1B	0	0	0	0.486967444056406	0	0	0
SLC30A9	0	0	0	0.563613808933425	0	0	0
EGLN1	0	0	0	0.730084063790132	0	0	0
TRAPPC1	0	0	0	0.367112652858212	0	0.485256570870954	0
USP48	0	0	0	0.402115584860604	0.460891815362814	0.260504620991621	0
SDF4	0	0	0	0.377362334378038	0.519826925455386	0	0
SECISBP2	0	0	0	0.449196375115159	0	0	0
STAT1	0	0	0	0.325889631613711	0.62987771458514	0.392447457724722	0
TXNDC11	0	0	0	0.9679741641948	0.590335191021195	0	0
GPRIN3	0	0	0	0.603937187300073	0.755193491545653	0	0
FAM89B	0	0	0	0.438122426319905	0	0	0
PMPCB	0	0	0	0.868964422170674	0	0.505862905056025	0
DNAJB1	0	0	0	0.449516143210179	0	0	0
ZCRB1	0	0	0	0.347329401281546	0	0.907776724393885	0
CDIPT	0	0	0	0.550594926375069	0	0	0
C17orf49	0	0	0	0.500476895382222	0	0.814087448928896	0
VOPP1	0	0	0	0.271461320400294	0.677005698732962	0	0
NBR1	0	0	0	0.542698451622392	0	0	0
ETNK1	0	0	0	0.295057873188203	0	0	0
HSPE1	0	0	0	0.349465934161321	0	0	0
GOT2	0	0	0	0.586434692491205	0.490526599840774	1.19196283152	0
